"","exascalar","green500rank","top500rank","rmax","power","mflopswatt","name"
"1","-2.044",40,1,33862700,17808,1901.54425,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P"
"2","-2.208",35,2,17590000,8209,2142.77013,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x"
"3","-2.211",26,3,17173224,7890,2176.580989,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom"
"4","-2.657",123,4,10510000,12659.89,830.1809889,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect"
"5","-2.424",27,5,8586612,3945,2176.580989,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"6","-2.438",4,6,5587000,1753.66,3185.908329,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x"
"7","-2.776",52,7,5168110,4510,1145.922395,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P"
"8","-2.589",20,8,5008857,2301,2176.817471,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"9","-2.636",19,9,4293306,1972,2177.13286,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"10","-3.061",95,10,2582000,2841,908.8349173,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR"
"11","-2.659",6,11,2831000,922.537226,3068.710855,"Cluster Platform SL390s G7, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA K20x"
"12","-3.173",171,12,2566000,4040,635.1485149,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050"
"13","-2.881",42,13,2345780,1307.6,1793.958397,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P"
"14","-3.098",63,14,2098090,2118,990.5996223,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"15","-2.905",31,15,1788878,821.88,2176.568355,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"16","-3.272",137,16,1541290,2015.14,764.8550473,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2  2.6/2.8GHz, Infiniband FDR"
"17","-3.459",200,17,1515000,3575.63,423.7015575,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect"
"18","-3.255",100,18,1415470,1606,881.3636364,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"19","-3.363",169,19,1367550,2133.376,641.026242,"Cray XC30, Intel Xeon E5 v2 12C 2.700GHz, Aries interconnect "
"20","-3.367",170,20,1359000,2132,637.4296435,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR"
"21","-3.466",184,21,1271000,2580,492.6356589,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050"
"22","-3.293",101,22,1257615,1436.72,875.3375745,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"23","-3.015",25,23,1252214,575.31,2176.590012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"24","-3.434",181,24,1237000,2200,562.2727273,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR"
"25","-3.755",335,25,1167000,5569,209.552882,"Cray XE6, Opteron 16C 2.500GHz, Cray Gemini interconnect"
"26","-3.683",228,26,1110000,3980,278.8944724,"Cray XE6, Opteron 6136 8C 2.40GHz, Custom"
"27","-3.062",22,27,1073327,493.12,2176.604072,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"28","-3.618",211,28,1054000,2910,362.1993127,"Cray XE6, Opteron 6172 12C 2.10GHz, Custom"
"29","-3.761",317,29,1050000,4590,228.7581699,"Bull bullx super-node S6010/S6030"
"30","-3.347",99,30,1043000,1176.8,886.3018355,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect"
"31","-3.374",126,31,1033110,1260,819.9285714,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband FDR"
"32","-3.481",175,32,978600,1605.12,609.6740431,"Fujitsu PRIMERGY CX250 S1, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"33","-3.130",39,33,976763,510,1915.221569,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P"
"34","-3.375",75,34,925058,1015.6,910.8487594,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"35","-3.721",226,35,919100,3090,297.4433657,"Cray XT5-HE Opteron Six Core 2.6 GHz"
"36","-4.295",498,36,905370,19431.3,46.59338284,"HA8000-tc HT210/PRIMERGY CX400 Cluster, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, NVIDIA K20/K20x, Xeon Phi 5110P"
"37","-3.702",220,37,901900,2800,322.1071429,"T-Platforms T-Blade2/1.1, Xeon X5570/X5670/E5630 2.93/2.53 GHz, Nvidia 2070 GPU, PowerXCell 8i Infiniband QDR"
"38","-3.118",21,38,894439,410.9,2176.780239,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"39","-3.625",195,39,831400,1850,449.4054054,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect"
"40","-3.485",142,40,795900,1074,741.0614525,"Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR"
"41","-3.456",122,41,773700,924.16,837.1926939,"Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR"
"42","-3.526",163,42,771700,1155.07,668.0980373,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050"
"43","-3.201",37,43,758873,387.2,1959.899277,"Intel Cluster, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR, Intel Xeon Phi 7110"
"44","-3.453",78,44,719220,789.66,910.7970519,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"45","-3.187",28,45,715551,328.75,2176.580989,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"46","-3.187",29,46,715551,328.75,2176.580989,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"47","-3.265",45,47,715551,424,1687.620283,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"48","-3.187",30,48,715551,328.75,2176.580989,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"49","-3.131",8,49,709700,269.94,2629.102764,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband, NVIDIA K20x"
"50","-3.762",212,50,660243,1824.93,361.7908632,"Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect"
"51","-3.702",190,51,635111,1386.91,457.9323821,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect"
"52","-3.702",191,52,635111,1386.91,457.9323821,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect"
"53","-3.399",48,53,597400,458.1249857,1304.010955,"Cray XK7 , Opteron 6276 16C 2.300GHz, Cray Gemini interconnect, NVIDIA K20"
"54","-3.554",127,54,582100,720,808.4722222,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"55","-3.664",180,55,565700,972,581.9958848,"Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect"
"56","-3.965",318,56,545510,2410.2,226.3339142,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet"
"57","-3.275",23,57,536663,246.56,2176.602044,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"58","-3.275",24,58,536663,246.56,2176.602044,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"59","-3.326",11,59,421200,179.15,2351.102428,"Adtech, ASUS ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000"
"60","-3.269",18,60,531600,237,2243.037975,"Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m"
"61","-3.467",49,61,500277,401,1247.573566,"Bullx DLC B710 Blades, Intel Xeon E5 v2 12C 2.700GHz, Infiniband FDR"
"62","-4.158",415,62,499226.1,3780,132.0703968,"Cluster Platform SL230s Gen8, Intel Xeon E5-2680v2  10C 2.800GHz, Gigabit Ethernet"
"63","-3.563",73,63,496500,540,919.4444444,"Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050"
"64","-3.616",131,64,484179,609.408,794.5071282,"Amazon EC2 Cluster, Intel Xeon E5-2670v2  10C 2.500GHz, 10G Ethernet"
"65","-3.790",189,65,476333,1040.18,457.9332423,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect"
"66","-4.225",444,66,461793,4032,114.531994,"Cluster Platform SL390s G7, Xeon X5650 6C 2.660GHz, Gigabit Ethernet, NVIDIA 2090"
"67","-3.872",210,67,458611,1260,363.9769841,"Blue Gene/P Solution"
"68","-4.074",351,68,457570.7,2419.2,189.1413277,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet"
"69","-3.594",88,69,454053.34,498.53,910.7843861,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR14"
"70","-3.615",109,70,441815,505.5,874.0158259,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"71","-4.287",469,71,433500,4343.73,99.79902066,"Sun Blade x6275, Xeon X55xx 2.93 Ghz, Infiniband"
"72","-4.379",476,72,426750.8,5674.8,75.20102911,"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet"
"73","-3.577",59,73,421600,407.29,1035.134671,"Xtream-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090"
"74","-3.742",176,74,420400,692.9803125,606.6550412,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect "
"75","-4.218",418,75,419387,3244.8,129.2489522,"Cluster Platform SL230s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet, NVIDIA 2075"
"76","-3.388",38,76,417256,215.6,1935.324675,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, Intel Xeon Phi 5110P"
"77","-3.900",209,77,415700,1134,366.5784832,"Blue Gene/P Solution"
"78","-4.261",445,78,413500,3628.8,113.949515,"SGI Rackable C2112-4RP3, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"79","-3.673",135,79,407240,519,784.6628131,"Cluster Platform SL230s Gen8, Xeon E5-2660 8C 2.200GHz, Infiniband FDR"
"80","-3.846",192,80,396944.44,866.82,457.9317967,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect"
"81","-3.741",167,81,396700,614.25,645.8282458,"Cluster Platform SL250s Gen8, Xeon E5-2665 8C 2.400GHz, Infiniband FDR, Nvidia K20m"
"82","-3.700",143,82,396700,537,738.7337058,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"83","-3.439",44,83,388442,220.68,1760.204821,"R2208GZ Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P"
"84","-3.463",46,84,375700,222.7,1687.022901,"RSC Tornado, Xeon E5-2690 8C 2.900GHz, Infiniband FDR, Intel Xeon Phi SE10X"
"85","-4.130",346,85,371738.3,1917.6,193.8560179,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, 10G Ethernet"
"86","-4.274",435,86,364462.6,2942.1,123.8783862,"Cluster Platform DL360p Gen8, Xeon E5-2640 6C 2.500GHz, Gigabit Ethernet"
"87","-3.399",32,87,357776,164.38,2176.517825,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom"
"88","-3.399",33,88,357776,164.38,2176.517825,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom"
"89","-3.399",34,89,357776,164.38,2176.517825,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"90","-4.436",477,90,354467,4713.6,75.20090801,"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet"
"91","-3.638",60,91,352671,347.27,1015.55274,"iDataPlex DX360M4, Intel Xeon E5-2697v2 12C 2.700GHz, Infiniband FDR14"
"92","-4.438",478,92,352030,4681.2,75.20080321,"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet"
"93","-3.685",102,93,350729,400.68,875.3344315,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"94","-3.707",124,94,347400,421.2,824.7863248,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"95","-3.725",136,95,347400,448,775.4464286,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"96","-3.762",158,96,346070,500,692.14,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR"
"97","-4.086",277,97,339500,1382.4,245.5873843,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"98","-3.726",129,98,336800,421.2,799.620133,"Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"99","-3.704",117,99,334377,386.56,865.006726,"Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR"
"100","-3.757",146,100,332000,453.6,731.9223986,"Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
"101","-3.707",105,101,327347,373.97,875.3295719,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"102","-3.707",106,102,327347,373.97,875.3295719,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"103","-4.462",479,103,325138,4323.6,75.20075863,"Cluster Platform DL360e Gen8, Xeon E5-2450L 8C 1.800GHz, Gigabit Ethernet"
"104","-4.293",417,104,322900,2456.4,131.4525322,"SGI ICE 8400EX, Xeon X5690 6C 3.470GHz, Infiniband QDR"
"105","-4.096",267,105,319560.4,1267.2,252.178346,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, NVIDIA 2090"
"106","-3.703",74,106,318443,349.6,910.8781465,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"107","-3.779",156,107,318000,446.4,712.3655914,"Bullx B510, Xeon E5-2670 8C 2.600GHz, Infiniband QDR"
