Source for performance-related data from http://www.top500.org,,,,,,,,
Source for power-related data from publicly available sources or submissions to http://www.green500.org,,,,,,,,

Green500 Rank,Site,Manufacturer,Computer,Country,Mflops Per Watt, Total Power (kW), TOP500 Rank,how
1,"Science and Technology Facilities Council - Daresbury Laboratory","IBM","Blue Gene/P Solution","United Kingdom",357.23,31.10,121,submission
2,"Max-Planck-Gesellschaft MPI/IPP","IBM","Blue Gene/P Solution","Germany",352.25,62.20,40,submission
3,"IBM - Rochester","IBM","Blue Gene/P Solution","United States",346.95,124.40,24,submission
4,"Forschungszentrum Juelich (FZJ)","IBM","Blue Gene/P Solution","Germany",336.21,497.60,2,submission
5,"Oak Ridge National Laboratory","IBM","Blue Gene/P Solution","United States",310.93,70.47,41,submission
6,"Harvard University","IBM","eServer Blue Gene Solution","United States",210.56,44.80,170,submission
7,"High Energy Accelerator Research Organization /KEK","IBM","eServer Blue Gene Solution","Japan",210.56,44.80,171,submission
8,"IBM - Almaden Research Center","IBM","eServer Blue Gene Solution","United States",210.56,44.80,172,submission
9,"IBM Research","IBM","eServer Blue Gene Solution","Switzerland",210.56,44.80,173,submission
10,"IBM Thomas J. Watson Research Center","IBM","eServer Blue Gene Solution","United States",210.56,44.80,174,submission
11,"Renaissance Computing Institute (RENCI)","IBM","eServer Blue Gene Solution","United States",210.56,44.80,175,submission
12,"University of Canterbury","IBM","eServer Blue Gene Solution","New Zealand",210.56,44.80,176,submission
13,"Forschungszentrum Juelich (FZJ)","IBM","eServer Blue Gene Solution","Germany",208.31,179.20,28,submission
14,"Computational Biology Research Center, AIST","IBM","eServer Blue Gene Solution","Japan",208.31,89.60,52,submission
15,"EDF R&D","IBM","eServer Blue Gene Solution","France",208.31,89.60,53,submission
16,"Ecole Polytechnique Federale de Lausanne","IBM","eServer Blue Gene Solution","Switzerland",208.31,89.60,54,submission
17,"High Energy Accelerator Research Organization /KEK","IBM","eServer Blue Gene Solution","Japan",208.31,89.60,55,submission
18,"High Energy Accelerator Research Organization /KEK","IBM","eServer Blue Gene Solution","Japan",208.31,89.60,56,submission
19,"IBM Rochester, On Demand Deep Computing Center","IBM","eServer Blue Gene Solution","United States",208.31,89.60,57,submission
20,"Indian Institute of Science","IBM","eServer Blue Gene Solution","India",208.31,89.60,58,submission
21,"DOE/NNSA/LLNL","IBM","eServer Blue Gene Solution","United States",205.27,2329.60,1,submission
22,"UCSD/San Diego Supercomputer Center","IBM","eServer Blue Gene Solution","United States",205.06,67.20,93,submission
23,"ASTRON/University Groningen","IBM","eServer Blue Gene Solution","Netherlands",204.24,134.40,37,submission
24,"Stony Brook/BNL, New York Center for Computational Sciences","IBM","eServer Blue Gene Solution","United States",203.77,403.20,10,submission
25,"Rensselaer Polytechnic Institute, Computational Center for Nanotechnology Innovations","IBM","eServer Blue Gene Solution","United States",203.77,358.40,12,submission
26,"IBM Thomas J. Watson Research Center","IBM","eServer Blue Gene Solution","United States",203.77,448.00,8,submission
27,"NCSA","Dell","PowerEdge 1955, 2.33 GHz, Infiniband","United States",177.06,354.00,14,submission
28,"SGI","SGI","SGI Altix ICE 8200, 3.0 GHz","United States",157.27,123.10,50,submission
29,"Argonne National Laboratory - CNM","TeamHPC of M&A Technology","TeamHPC Xeon 5355 Cluster, Quad Xeon 2.66GHz, Infiniband","United States",157.24,63.36,150,peak
30,"Manufacturing Company (I)","SGI","SGI Altix ICE 8200, 3.0 GHz","United States",155.71,61.50,167,submission
31,"Maui High-Performance Computing Center (MHPCC)","Dell","PowerEdge 1955, 3.0 GHz, Infiniband","United States",155.27,273.00,25,peak
32,"Tokyo University - Institute for Cosmic Ray Research","SGI","SGI Altix ICE 8200, quad core 2.33 GHz","Japan",154.93,46.00,360,submission
33,"Texas Advanced Computing Center/Univ. of Texas","Dell","PowerEdge 1955, 2.66 GHz, Infiniband","United States",152.21,307.02,22,peak
34,"Near East University","IBM","BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband","Turkey",150.45,51.44,308,submission
35,"Online Gaming (D)","IBM","BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet, Windows","Singapore",150.45,51.44,309,submission
36,"Qualcomm","IBM","BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet","United States",150.45,51.44,310,submission
37,"Naval Research Laboratory (NRL)","SGI","SGI Altix ICE 8200, 3.0 GHz","United States",148.92,97.50,82,submission
38,"SGI/New Mexico Computing Applications Center (NMCAC)","SGI","SGI Altix ICE 8200, Xeon quad core 3.0 GHz","United States",148.11,856.80,3,submission
39,"Scientific Supercomputing Center Karlsruhe","Transtec AG","Transtec Xeon Cluster","Germany",142.21,88.88,104,peak
40,"NASA/Ames Research Center/NAS","SGI","SGI Altix ICE 8200, 2.66 GHz","United States",141.35,230.07,34,submission
41,"Louisiana State University","Dell","PowerEdge 1955, 2.66 GHz, Infiniband","United States",140.23,75.60,133,peak
42,"Michigan State University","SGI","SGI Altix XE 1300 Cluster Solutions, 2.33GHZ, Infiniband","United States",139.68,53.10,324,submission
43,"Idaho National Laboratory","SGI","SGI Altix ICE 8200, 2.66 GHz","United States",138.83,123.10,64,submission
44,"University of Minnesota","SGI","SGI Altix XE 1300 Cluster Solutions, 2.66GHZ, Infiniband","United States",137.99,125.44,62,peak
45,"Stanford University/Biomedical Computational Facility","Dell","PowerEdge 1950, 2.33 GHz, Infiniband","United States",137.51,113.23,73,submission
46,"University of North Carolina","Dell","PowerEdge 1955, 2.33 GHz, Cisco/Topspin Infiniband","United States",131.73,218.40,36,peak
47,"Arizona State University High Performance Computing  Center","Dell","PowerEdge 1955, Quad Core 2.66 GHz, Infiniband","United States",130.95,92.40,110,peak
48,"National Taiwan University","IBM","BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, Infiniband, Windows","Taiwan",129.60,47.77,239,submission
49,"Siberian National University","IBM","BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband","Russia",127.82,72.66,183,submission
50,"Audi AG","Hewlett-Packard","Cluster Platform 3000 BL460c, Xeon 51xx 3.0GHz, Infiniband","Germany",127.55,86.70,123,submission
51,"NCSA","Dell","PowerEdge 1955, 2.66 GHz, Infiniband","United States",125.41,133.00,66,submission
52,"Pacific Northwest National Laboratory","IBM","spray cooled xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet","United States",117.77,78.85,186,submission
53,"Imperial College ICT HPC","Dell","PowerEdge 1955, 2.66 GHz, Gigabit/10G Infiniband","United Kingdom",114.51,88.20,148,peak
54,"NNSA/Sandia National Laboratories","Dell","PowerEdge 1950, 3 GHz, Voltaire Infiniband","United States",109.91,93.80,143,peak
55,"Microsoft Windows HPC Group","Dell","PowerEdge 1955, 1.86 GHz, Cisco Infiniband, Windows OS","United States",109.28,107.52,116,peak
56,"Fraunhofer ITWM","Linux Networx","PowerEdge 1950, 2.33 GHz, Infiniband","Germany",107.61,75.62,244,submission
57,"Financial Institution (U1)","IBM","BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, GigEthernet","United States",104.25,76.10,270,submission
58,"Financial Institution (U1)","IBM","BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, GigEthernet","United States",104.25,75.63,301,submission
