green500rank,mflopswatt,site,Computer,power
1,"4,389.82","GSIC Center, Tokyo Institute of Technology","TSUBAME-KFC - LX 1U-4GPU/104Re-1G Cluster, Intel Xeon E5-2620v2 6C 2.100GHz, Infiniband FDR, NVIDIA K20x",34.58
2,"3,631.70",Cambridge University,"Wilkes - Dell T620 Cluster, Intel Xeon E5-2630v2 6C 2.600GHz, Infiniband FDR, NVIDIA K20",52.62
3,"3,517.84","Center for Computational Sciences, University of Tsukuba","HA-PACS TCA - Cray 3623G4-SM Cluster, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband QDR, NVIDIA K20x",78.77
4,"3,459.46",SURFsara,"Cartesius Accelerator Island - Bullx B515 cluster, Intel Xeon E5-2450v2 8C 2.5GHz, InfiniBand 4? FDR, Nvidia K40m",44.4
5,"3,185.91",Swiss National Supercomputing Centre (CSCS),"Piz Daint - Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","1,753.66"
6,"3,131.06",ROMEO HPC Center - Champagne-Ardenne,"romeo - Bull R421-E3 Cluster, Intel Xeon E5-2650v2 8C 2.600GHz, Infiniband FDR, NVIDIA K20x",81.41
7,"3,019.72",CSIRO,"CSIRO GPU Cluster - Nitro G16 3GPU, Xeon E5-2650 8C 2GHz, Infiniband FDR, Nvidia K20m",86.2
8,"2,951.95","GSIC Center, Tokyo Institute of Technology","TSUBAME 2.5 - Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x",927.86
9,"2,813.14",Exploration & Production - Eni S.p.A.,"HPC2 - iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, NVIDIA K20x","1,067.49"
10,"2,678.41",Financial Institution,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband, NVIDIA K20x",54.6
11,"2,629.42",Financial Institution,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",66.25
12,"2,629.42",Financial Institution,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",66.25
13,"2,629.42",Financial Institution,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",66.25
14,"2,629.42",Financial Institution,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",66.25
15,"2,629.10",Max-Planck-Gesellschaft MPI/IPP,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband, NVIDIA K20x",269.94
