"Green500 Rank","Site","Manufacturer","Computer","Country","MFW","Power","Top500 Rank","How"
1,"  DOE/NNSA/LLNL","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United States",2100.87591240876,41.1,252,"Submission"
2,"  IBM Thomas J. Watson Research Center","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United States",2100.87591240876,41.1,253,"Submission"
3,"  DOE/SC/Argonne National Laboratory","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United States",2100.86374695864,82.2,99,"Submission"
4,"  DOE/SC/Argonne National Laboratory","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United States",2100.86374695864,82.2,100,"Submission"
5,"  Rensselaer Polytechnic Institute","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United States",2100.86374695864,82.2,102,"Submission"
6,"  University of Rochester","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United States",2100.86374695864,82.2,103,"Submission"
7,"  IBM Thomas J. Watson Research Center","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",2100.86374695864,82.2,101,"Submission"
8,"  University of Edinburgh","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United Kingdom",2099.56398296492,493.1,20,"Submission"
9,"  Science and Technology Facilities Council - Daresbury Laboratory","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United Kingdom",2099.50286806883,575.3,13,"Submission"
10,"  Forschungszentrum Juelich (FZJ)","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Germany",2099.45703422053,657.5,8,"Submission"
11,"  CINECA","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Italy",2099.39408687188,821.9,7,"Submission"
12,"  High Energy Accelerator Research Organization /KEK","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Japan",2099.1403081914,246.6,36,"Submission"
13,"  EDF R&D","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","France",2099.13929440389,328.8,29,"Submission"
14,"  IDRIS/GENCI","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","France",2099.13929440389,328.8,30,"Submission"
15,"  Victorian Life Sciences Computation Initiative","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Australia",2099.13929440389,328.8,31,"Submission"
16,"  IBM - Rochester","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",2099.13625304136,164.4,49,"Submission"
17,"  IBM - Rochester","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",2099.13625304136,164.4,50,"Submission"
18,"  DOE/NNSA/LLNL","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United States",2099.13625304136,164.4,48,"Submission"
19,"  DOE/SC/Argonne National Laboratory","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United States",2069.0433460076,3945,3,"Submission"
20,"  DOE/NNSA/LLNL","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",2069.04321926489,7890,1,"Submission"
21,"  Intel","Intel","Intel Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel MIC","United States",1380.67215363512,72.9,150,"Submission"
22,"  Nagasaki University","Self-made","DEGIMA Cluster, Intel i5, ATI Radeon GPU, Infiniband QDR","Japan",1379.78723404255,47,456,"Submission"
23,"  Barcelona Supercomputing Center","Bull","Bullx B505, Xeon E5649 6C 2.53GHz, Infiniband QDR, NVIDIA 2090","Spain",1266.25766871166,81.5,177,"Submission"
24,"  Center for Computational Sciences, University of Tsukuba",,"Xtream-X GreenBlade 8204, Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","Japan",1151.91256830601,366,41,"Submission"
25,"  Los Alamos National Laboratory","Appro","Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR, NVIDIA 2090","United States",1050.26455026455,226.8,74,"Top500"
26,"  CEA/TGCC-GENCI","Bull","Bullx B505, Xeon E5640 2.67 GHz, Infiniband QDR","France",1010.11029411765,108.8,162,"Submission"
27,"  CSIRO","Xenon Systems","Nitro G16 3GPU, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, NVIDIA 2050","Australia",994.143245693563,110.3,156,"Submission"
28,"  GSIC Center, Tokyo Institute of Technology","NEC/HP","HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows","Japan",958.353433027818,1243.8,14,"Submission"
29,"  Virginia Tech","Seneca/Supermicro","SuperServer  2026GT-TRF, Xeon E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2050","United States",953.285827395091,126.3,147,"Submission"
30,"  University of Chicago","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","United States",932.831737346101,73.1,416,"Submission"
31,"  Centro Euro-Mediterraneo per i Cambiamenti Climatici","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Italy",932.776175548589,159.5,121,"Submission"
32,"  Indian Institute of Technology Madras","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","India",932.712384851586,97.7,224,"Submission"
33,"  Automotive Company","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","United States",932.624071322437,67.3,477,"Submission"
34,"  Durham University","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","United Kingdom",932.525787965616,139.6,134,"Submission"
35,"  Science and Technology Facilities Council - Daresbury Laboratory","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","United Kingdom",932.4089306698,170.2,114,"Submission"
36,"  Universidad de Cantabria - SSC","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Spain",932.19298245614,79.8,358,"Submission"
37,"  Institute of Process Engineering, Chinese Academy of Sciences","IPE, Nvidia, Tyan","Mole-8.5 Cluster, Xeon X5520 4C 2.27 GHz, Infiniband QDR, NVIDIA 2050","China",919.444444444444,540,37,"Submission"
38,"  Max-Planck-Gesellschaft MPI/IPP","IBM","iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Germany",910.904229460379,205.7,87,"Submission"
39,"  Leibniz Rechenzentrum","IBM","iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","Germany",908.834917282647,2841,4,"Submission"
40,"  Georgia Institute of Technology","HP","HP ProLiant SL390s G7 Xeon 6C X5660 2.8Ghz, nVidia Fermi, Infiniband QDR","United States",901.611535199322,117.9,172,"Submission"
41,"  CINECA / SCS - SuperComputing Solution","IBM","iDataPlex DX360M3, Xeon E5645 6C 2.40 GHz, Infiniband QDR, NVIDIA 2070","Italy",891.875,160,123,"Submission"
42,"  Forschungszentrum Juelich (FZJ)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband QDR, NVIDIA 2070","Germany",891.528726708074,128.8,157,"Submission"
43,"  Information Technology Center, The University of Tokyo","Fujitsu","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Japan",886.301835486064,1176.8,18,"Top500"
44,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,257,"Submission"
45,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,258,"Submission"
46,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,259,"Submission"
47,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,260,"Submission"
48,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,261,"Submission"
49,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,262,"Submission"
50,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,263,"Submission"
51,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,264,"Submission"
52,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,265,"Submission"
53,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,266,"Submission"
54,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,267,"Submission"
55,"  Geoscience (P)","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",866.226034308779,99.1,268,"Submission"
56,"  Geoscience","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.499075785582,108.2,209,"Submission"
57,"  Geoscience","IBM","iDataPlex DX360M3, Xeon X5650 6C 2.66 GHz, Infiniband, NVIDIA 2090","United States",865.499075785582,108.2,210,"Submission"
58,"  Sandia National Laboratories","Appro","Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR","United States",848.686293130738,315.9,65,"Top500"
59,"  Lawrence Livermore National Laboratory","Appro","Xtreme-X GreenBlade GB512X, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, Infiniband QDR","United States",837.15645964077,924.2,27,"Top500"
60,"  RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","SPARC64 VIIIfx 2.0GHz, Tofu interconnect","Japan",830.180333177987,12659.9,2,"Top500"
61,"  Energy Company (A)","IBM","BladeCenter HS23 Cluster, Xeon E5-2650 8C 2.000GHz, Infiniband QDR","Italy",816.002673796792,74.8,499,"Submission"
62,"  National Center for High Performance Computing","Self-made","Hybrid Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA 2070","Taiwan",809.54095409541,111.1,232,"Submission"
63,"  Bull","Bull","Bullx B510, Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz, Infiniband QDR","France",809.364599092284,132.2,171,"Derived"
64,"  CEA/TGCC-GENCI","Bull","Bullx S6010 Cluster,  Xeon 2.26 Ghz 8-core, QDR Infiniband","France",803.952205882353,108.8,245,"Submission"
65,"  Bull","Bull","Bullx B510, Xeon E5 (Sandy Bridge - EP) 8C 2.70GHz, Infiniband QDR","France",801.928888888889,450,45,"Submission"
66,"  Sandia National Laboratories","Appro","Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband QDR","United States",799.620132953466,421.2,52,"Top500"
67,"  UCSD/San Diego Supercomputer Center","Appro","Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","United States",797.433035714286,358.4,62,"Top500"
68,"  University of Oslo","Megware","MEGWARE MiriQuid, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Norway",786.784140969163,227,96,"Top500"
69,"  CSIR Centre for Mathematical Modelling and Computer Simulation","HP","Cluster Platform 3000 BL460c Gen8, Xeon E5-2670 8C 2.60GHz, Infiniband FDR","India",786.083807553026,386.6,58,"Top500"
70,"  Los Alamos National Laboratory","Appro","Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","United States",775.446428571428,448,47,"Top500"
71,"  Purdue University","HP","Cluster Platform 3000 SL6500, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband","United States",741.666666666667,252,88,"Top500"
72,"  National Supercomputing Center in Jinan","NRCPCET","Sunway BlueLight MPP, ShenWei processor SW1600 975.00 MHz, Infiniband QDR","China",741.061452513966,1074,26,"Top500"
73,"  Norwegian University of Science and Technology","SGI","SGI Altix X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Norway",738.733705772812,537,44,"Top500"
74,"  Super Computer Center in Guangzhou","NUDT","NUDT YH MPP, Xeon X56xx (Westmere-EP) 2.93 GHz, Proprietary","China",732.525951557093,289,80,"Top500"
75,"  University of California, Los Angeles","HP","HP ProLiant SL390s G7 Xeon X5650, Nvidia M2070, Infiniband QDR","United States",732.083333333333,96,384,"Submission"
76,"  Sandia National Laboratories","Appro","Xtreme-X GreenBlade GB512X, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","United States",731.922398589065,453.6,54,"Top500"
77,"  Universitaet Frankfurt","Clustervision/Supermicro","Supermicro Cluster, QC Opteron 2.1 GHz, ATI Radeon GPU, Infiniband","Germany",718.090211132438,416.8,59,"Top500"
78,"  Poznan Supercomputing and Networking Center, Institute of Bioorganic Chemistry","SGI","Rackable C1103-G15, Opteron 6234 12C 2.40 GHz, Infiniband QDR","Poland",715.139442231076,125.5,233,"Derived"
79,"  PETROBRAS","Itautec","Itautec Cluster, Xeon X5670 6C 2.930GHz, Infiniband QDR, NVIDIA 2050","Brazil",688.098495212038,365.5,68,"Top500"
80,"  Commissariat a l'Energie Atomique (CEA)/CCRT","Bull","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","France",682.738461538462,260,97,"Top500"
81,"  National Super Computer Center in Hunan","NUDT","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, Proprietary, NVIDIA 2050","China",668.080685654922,1155.1,28,"Top500"
82,"  Kyoto University","Cray Inc.","Cray XE6, Opteron 16C 2.50GHz, Cray Gemini interconnect","Japan",663.620081755803,360.759124959839,73,"Derived"
83,"  KTH - Royal Institute of Technology","Cray Inc.","Cray XE6, Opteron 12 Core 2.10 GHz, Custom","Sweden",658.358544505815,360.29,76,"Derived"
84,"  Amazon Web Services","Self-made","Amazon EC2 Cluster, Xeon 8C 2.60GHz, 10G Ethernet","United States",654.053612291599,367.08,72,"Derived"
85,"  Kyoto University","Appro/Cray","Xtreme-X , Xeon E5-2670 8C 2.600GHz, Infiniband FDR","Japan",643.842130290062,210.3,126,"Top500"
86,"  National Institute for Environmental Studies","NSSOL / SGI Japan","Asterism ID318, Intel Xeon E5530, NVIDIA C2050, Infiniband","Japan",643.686932926312,117.93,342,"Submission"
87,"  National Supercomputing Center in Tianjin","NUDT","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","China",635.148514851485,4040,5,"Top500"
88,"  Vikram Sarabhai Space Centre, Indian Space Research Organisation","HP/WIPRO","Z24XX/SL390s Cluster, Xeon E5530/E5645 6C 2.40GHz, Infiniband QDR, NVIDIA 2090/2070","India",634.008668481,297.63,86,"Derived"
89,"  Lawrence Livermore National Laboratory","Appro","Appro GreenBlade Cluster, Xeon X5660 6C 2.80 GHz, Infiniband QDR, NVIDIA 2050","United States",628.125,160,184,"Submission"
90,"  Intel","Intel","Intel Cluster, Xeon E5 (Sandy Bridge - EP) 8C 2.60GHz, FDR Infiniband","United States",619.047619047619,176.4,165,"Top500"
91,"  Commissariat a l'Energie Atomique (CEA)","Bull","Bullx B505, Xeon E56xx (Westmere-EP) 2.40 GHz, Infiniband QDR","France",615.802943058221,250.08,115,"Derived"
92,"  CEA/TGCC-GENCI","Bull","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","France",603.731674811195,2251,9,"Top500"
93,"  Numazu Complex, Fujitsu Limited","Fujitsu","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Japan",597.665986857013,141.216,270,"Top500"
94,"  Research Institute for Information Technology, Kyushu University","Fujitsu","PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect","Japan",590.230568774077,282.432,106,"Top500"
95,"  NOAA/Oak Ridge National Laboratory","Cray Inc.","Cray XE6, Opteron 6276 16C 2.30GHz, Cray Gemini interconnect","United States",581.995884773662,972,33,"Top500"
96,"  University of Oklahoma","Dell","Dell R620/R720, Xeon E5-2650 8C 2.000GHz, Infiniband QDR, NVIDIA 2070","United States",579.506641366224,158.1,221,"Top500"
97,"  Yukawa Institute for Theoretical Physics (YITP)","Hitachi","Hitachi SR16000 Model XM1/108, Power7 3.3Ghz, Infiniband","Japan",565.972222222222,129.6,367,"Top500"
98,"  International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration","Bull","Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","Japan",562.272727272727,2200,12,"Top500"
99,"  ERDC DSRC","Cray Inc.","Cray XE6 8-core 2.4 GHz","United States",555.470000000001,275.442418132392,116,"Derived"
100,"  HPC2N - Umea University","South Pole AB/Supermicro","Supermicro H8QG6, Opteron 6238 12C 2.600GHz, Infiniband QDR","Sweden",521.962801741195,252.7,130,"Top500"
101,"  Universitaet Mainz","Megware/ASUS","Saxonid 6100, Opteron 6272 16C 2.100GHz, Infiniband QDR","Germany",500.037677304965,451.2,81,"Top500"
102,"  National Supercomputing Centre in Shenzhen (NSCS)","Dawning","Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050","China",492.635658914729,2580,10,"Top500"
103,"  CeSViMa - Centro de Supercomputacin y Visualizacin de Madrid","IBM","BladeCenter PS702 Express, Power7 3.3GHz, Infiniband","Spain",467.727272727273,154,375,"Submission"
104,"  University of Bergen","Cray Inc.","Cray XE6m-200, Opteron 6272 16C 2.10GHz, Cray Gemini interconnect","Norway",467.718375693836,342.3,112,"Top500"
105,"  DOE/NNSA/LANL","IBM","BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Infiniband","United States",458.333333333333,276,137,"Submission"
106,"  Government","NRCPCET","Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 3.06 GHz, Infiniband QDR","China",455.388471177945,199.5,226,"Derived"
107,"  Leeds N8","SGI","Raackable Cluster, Xeon E5-2670 8C 2.600GHz, Infiniband QDR","United Kingdom",450.948888888889,180,291,"Top500"
108,"  HWW/Universitaet Stuttgart","Cray Inc.","Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","Germany",449.405405405405,1850,24,"Submission"
109,"  DOE/NNSA/LANL","IBM","BladeCenter QS22/LS21 Cluster, PowerXCell 8i 3.2 Ghz / Opteron DC 1.8 GHz, Voltaire Infiniband","United States",444.349680170576,2345,19,"Submission"
110,"  Calcul Canada/Calcul Qu&#233;bec/Universit&#233; de Sherbrooke","SGI","Rackable C2112-4G3 Cluster, Opteron 12 Core 2.10 GHz, Infiniband QDR","Canada",443.079986724195,542.34,71,"Derived"
111,"  Taiwan National Center for High-performance Computing","Acer Group","Acer AR585 F1 Cluster, Opteron 12C 2.2GHz, QDR infiniband","Taiwan",442,400.678733031674,98,"Submission"
112,"  Institute for Materials Research, Tohoku University (IMR)","Hitachi","Hitachi SR16000 Model M1, POWER7 8C 3.836GHz, Custom","Japan",438.432500449398,556.3,70,"Top500"
113,"  University of Tokyo/Human Genome Center, IMS","Hitachi","HA8000-tc/HT225, Opteron 6276 16C 2.300GHz, Infiniband QDR","Japan",433.994823123382,231.8,183,"Derived"
114,"  Government","NRCPCET","Sunway 4000H Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR","China",429.308565531476,339.15,122,"Derived"
115,"  Los Alamos National Laboratory","Appro","Xtreme-X 1320H-LANL, Opteron 12 Core 2.30 GHz, Infiniband QDR","United States",426.720947446336,540.4,77,"Top500"
116,"  University of Southampton","IBM","xSeries iDataPlex, Xeon E5645 6C 2.400GHz, Infiniband","United Kingdom",426.543243243243,222,203,"Submission"
117,"  Geoscience","IBM","iDataPlex DX360M3, Xeon X5660 6C 2.80 GHz, Infiniband QDR","United States",421.777986829727,212.6,234,"Submission"
118,"  University of North Carolina","Dell","PowerEdge C6100 Cluster, Xeon X56xx (Westmere-EP) 2.93 GHz, Infiniband QDR","United States",419.88,190.05,297,"Derived"
119,"  Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw","IBM","Power 775, POWER7 8C 3.836GHz, Custom","Poland",410.510529674537,156.7,463,"Submission"
120,"  IBM Poughkeepsie Benchmarking Center","IBM","Power 775, Power7 3.836 GHz","United States",410.440835266821,172.4,382,"Submission"
121,"  DOE/Bettis Atomic Power Laboratory","Atipa","Atipa Cluster, Xeon X56xx (Westmere-EP) 2.66 GHz, Infiniband QDR","United States",408.968224757698,163.02,428,"Derived"
122,"  Knolls Atomic Power Laboratory","Atipa","Atipa Cluster, Xeon X56xx (Westmere-EP) 2.66 GHz, Infiniband QDR","United States",408.968224757698,163.02,429,"Derived"
123,"  Slovak Academy of Sciences (SAV)","IBM","Power 775, POWER7 8C 3.836GHz, Custom","Slovak Republic",406.874003189793,188.1,335,"Submission"
124,"  Swiss Scientific Computing Center (CSCS)","Cray Inc.","Cray XE6, Opteron 6272 16C 2.10 GHz, Cray Gemini interconnect","Switzerland",405.384615384615,780,57,"Top500"
125,"  CLUMEQ - McGill University","IBM","iDataPlex DX360M3, Xeon 2.66, Infiniband","Canada",404.451038575668,337,125,"Submission"
126,"  United Kingdom Meteorological Office","IBM","Power 775, POWER7 8C 3.836GHz, Custom","United Kingdom",398.072750478622,313.4,143,"Submission"
127,"  King Abdullah University of Science and Technology","IBM","Blue Gene/P Solution","Saudi Arabia",378.769841269841,504,85,"Submission"
128,"  EDF R&amp;D","IBM","Blue Gene/P Solution","France",378.769841269841,252,201,"Submission"
129,"  IDRIS","IBM","Blue Gene/P Solution","France",378.761904761905,315,149,"Submission"
130,"  Rice University","IBM","BlueGene/P, PowerPC 450 4C 850 MHz, Proprietary","United States",377.989417989418,189,377,"Submission"
131,"  DOE/SC/Oak Ridge National Laboratory","Cray Inc.","Cray XK6, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA 2090","United States",377.479579929988,5142,6,"Top500"
132,"  IBM Poughkeepsie Benchmarking Center","IBM","Power 775, Power7 3.836 GHz","United States",377.215788229733,423.1,113,"Submission"
133,"  Environment Canada","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","Canada",369.092721834496,501.5,90,"Submission"
134,"  Environment Canada","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","Canada",369.092721834496,501.5,91,"Submission"
135,"  Automotive","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband","United States",368.635607321131,240.4,238,"Submission"
136,"  Automotive","IBM","BladeCenter HS22 Cluster, WM Xeon 6-core 2.93Ghz, Infiniband","United States",368.635607321131,240.4,239,"Submission"
137,"  DOE/NNSA/LLNL","IBM","Blue Gene/P Solution","United States",366.57848324515,1134,42,"Submission"
138,"  United Kingdom Meteorological Office","IBM","Power 775, POWER7 8C 3.836GHz, Custom","United Kingdom",364.926881148631,1128.3,43,"Submission"
139,"  ECMWF","IBM","Power 775, POWER7 8C 3.83GHz, Custom","United Kingdom",364.926881148631,1504.4,35,"Submission"
140,"  ECMWF","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","United Kingdom",364.926881148631,1504.4,34,"Submission"
141,"  IBM Development Engineering","IBM","Power 775, POWER7 8C 3.836GHz, Custom","United States",364.923836969946,2429,23,"Submission"
142,"  United Kingdom Meteorological Office","IBM","Power 775, POWER7 8C 3.84 GHz, Custom","United Kingdom",364.908008082527,940.3,51,"Submission"
143,"  Forschungszentrum Juelich (FZJ)","IBM","Blue Gene/P Solution","Germany",363.977072310406,2268,25,"Submission"
144,"  DOE/SC/Argonne National Laboratory","IBM","Blue Gene/P Solution","United States",363.976984126984,1260,38,"Submission"
145,"  DOE/SC/LBNL/NERSC","Cray Inc.","Cray XE6, Opteron 6172 12C 2.10GHz, Custom","United States",362.199312714777,2910,16,"Top500"
146,"  University of Edinburgh","Cray Inc.","Cray XE6, Opteron 6276 16C 2.30 GHz, Cray Gemini interconnect","United Kingdom",361.790863211192,1824.93,32,"Derived"
147,"  RQCHP/Calcul Quebec/Compute Canada Universit de Montral","IBM","iDataPlex DX360M3, Xeon 2.66, Infiniband","Canada",361.766936299292,197.8,376,"Submission"
148,"  Energy Company (A)","HP","HP ProLiant SL390s G7 Xeon 6C X5650, Infiniband","Italy",359.649122807018,364.8,133,"Derived"
149,"  Classified","IBM","BladeCenter HS22 Cluster, Xeon QC X55xx 2.26 GHz, Infiniband","United States",357.5,184,442,"Submission"
150,"  Vienna Scientific Cluster","Megware/ASUS","Megware Saxonid 6100, Opteron 8C 2.2 GHz, Infiniband QDR","Austria",355.581395348837,430,117,"Top500"
151,"  Lockheed Martin","IBM","BladeCenter HS22 Cluster (WM), Xeon X5650 6C 2.660GHz, Infiniband QDR","United States",354.348426707598,260.6,212,"Submission"
