Green500_Rank,Rmax,Power,How?,Mflops_Per_Watt,Total Cores,Year,Name,Manufacturer,Computer,Site,Country,Segment,Top500_Rank,Accelerator/Co-Processor Cores,Rpeak,Efficiency (%),Nmax,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
1,98511,30.7,Submission,3208.827362,2688,2013,Eurora,Eurotech,"Eurotech Aurora HPC 10-20, Xeon E5-2687W 8C 3.100GHz, Infiniband QDR, NVIDIA K20",CINECA,Italy,Academic,467,1664,175667,57.44,299520,Cluster,Xeon E5-2687W 8C 3.100GHz,Intel SandyBridge,3100,CentOS,Linux,NVIDIA K20,8,Intel Xeon E5 (SandyBridge),Eurotech Aurora HPC 10-20,Eurotech Cluster,Infiniband,Infiniband QDR,Southern Europe,Europe
2,98640,31.02,Submission,3179.883946,2688,2013,Aurora Tigon,Eurotech,"Eurotech Aurora HPC 10-20, Xeon E5-2687W 8C 3.100GHz, Infiniband QDR, NVIDIA K20",Selex ES Chieti,Italy,Industry,,1664,167782,58.79,299520,Cluster,Xeon E5-2687W 8C 3.100GHz,Intel SandyBridge,3100,Linux,Linux,NVIDIA K20,8,Intel Xeon E5 (SandyBridge),Eurotech Aurora HPC 10-20,Eurotech Cluster,Infiniband,Infiniband QDR,Southern Europe,Europe
3,110500,45.11,Submission,2449.567723,9216,2012,Beacon,Cray Inc.,"Appro GreenBlade GB824M, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P",National Institute for Computational Sciences/University of Tennessee,United States,Academic,397,8640,157547.52,70.14,1023840,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,Intel Xeon Phi 5110P,8,Intel Xeon E5 (SandyBridge),Appro GreenBlade GB824M,Appro Cluster,Infiniband,Infiniband FDR,North America,Americas
4,421200,179.15,Submission,2351.102428,38400,2012,SANAM,Adtech,"Adtech, ASUS ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000",King Abdulaziz City for Science and Technology,Saudi Arabia,Research,52,33600,1098000,48.51,1904640,Cluster,Xeon E5-2650 8C 2.000GHz,Intel SandyBridge,2000,Linux,Linux,AMD FirePro S10000,8,Intel Xeon E5 (SandyBridge),Adtech ESC4000/FDR G2,Adtech Cluster,Infiniband,Infiniband FDR,Western Asia,Asia
5,188967,82.19,Submission,2299.148315,16384,2011,,IBM,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",IBM Thomas J. Watson Research Center,United States,Research,169,0,209715,90.11,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
6,188967,82.19,Submission,2299.148315,16384,2012,Cetus,IBM,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",DOE/SC/Argonne National Laboratory,United States,Research,167,0,209715,90.11,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
7,188967,82.19,Submission,2299.148315,16384,2012,CADMOS BG/Q,IBM,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Ecole Polytechnique Federale de Lausanne,Switzerland,Academic,168,0,209715,90.11,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
8,188967,82.19,Submission,2299.148315,16384,2012,,IBM,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Interdisciplinary Centre for Mathematical and Computational Modelling, University of Warsaw",Poland,Academic,170,0,209715,90.11,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Eastern Europe,Europe
9,188967,82.19,Submission,2299.148315,16384,2012,Vesta,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/SC/Argonne National Laboratory,United States,Research,166,0,209715,90.11,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
10,188967,82.19,Submission,2299.148315,16384,2012,,IBM,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",University of Rochester,United States,Academic,171,0,209715,90.11,1409023,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
