green500_rank,Top500_Rank,Rmax,Power,mflops_per_watt,How?,Year,Computer,Name,Total Cores,Site,Manufacturer,Country,Segment,Accelerator/Co-Processor Cores,Rpeak,Nmax,Nhalf,Architecture,Processor,processor_family,proc_frequency,operating_system,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,system_family,Interconnect Family,Interconnect,Region,Continent
1,437,151800,34.58,4389.82,Submission,2013,"LX 1U-4GPU/104Re-1G Cluster, Intel Xeon E5-2620v2 6C 2.100GHz, Infiniband FDR, NVIDIA K20x",TSUBAME-KFC,2720,"GSIC Center, Tokyo Institute of Technology",NEC,Japan,Academic,2240,217824,376000,160000,Cluster,Intel Xeon E5-2620v2 6C 2.1GHz,Intel IvyBridge,2100,CentOS,Linux,NVIDIA K20x,6,Intel Xeon E5 (IvyBridge),LX 1U-4GPU/104Re-1G Cluster,NEC Cluster,Infiniband,Infiniband FDR,Eastern Asia,Asia
2,201,191100,52.62,3631.86,Submission,2013,"Dell T620 Cluster, Intel Xeon E5-2630v2 6C 2.600GHz, Infiniband FDR, NVIDIA K20",Wilkes,5120,Cambridge University,Dell,United Kingdom,Academic,3584,367565,845824,0,Cluster,Intel Xeon E5-2630v2 6C 2.6GHz,Intel IvyBridge,2600,Linux,Linux,NVIDIA K20,6,Intel Xeon E5 (IvyBridge),Dell T620 Cluster,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,Northern Europe,Europe
3,165,277100,78.77,3517.84,Submission,2013,"Cray 3623G4-SM Cluster, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband QDR, NVIDIA K20x",HA-PACS TCA,4864,"Center for Computational Sciences, University of Tsukuba",Cray Inc.,Japan,Academic,3584,364288,896960,0,Cluster,Intel Xeon E5-2680v2 10C 2.8GHz,Intel IvyBridge,2800,CentOS,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),Cray 3623G4-SM Cluster,Cray Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
4,421,153600,44.40,3459.46,Top500,2014,"Bullx B515 cluster, Intel Xeon E5-2450v2 8C 2.5GHz, InfiniBand 4× FDR, Nvidia K40m",Cartesius Accelerator Island,3036,SURFsara,Bull SA,Netherlands,Academic,1980,209880,709632,0,Cluster,Intel Xeon E5-2450v2 8C 2.5GHz,Intel IvyBridge,2500,Bullx Linux,Linux,Nvidia K40m,8,Intel Xeon E5 (IvyBridge),Bullx B515 cluster,Bull Bullx,Infiniband,InfiniBand 4x FDR,Western Europe,Europe
5,6,5587000,1753.66,3185.91,Submission,2012,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x",Piz Daint,115984,Swiss National Supercomputing Centre (CSCS),Cray Inc.,Switzerland,Research,73808,7788852.8,4128768,0,MPP,Xeon E5-2670 8C 2.6GHz,Intel SandyBridge,2600,Cray Linux Environment,Linux,NVIDIA K20x,8,Intel Xeon E5 (SandyBridge),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect,Western Europe,Europe
6,185,254900,81.41,3131.06,Submission,2013,"Bull R421-E3 Cluster, Intel Xeon E5-2650v2 8C 2.600GHz, Infiniband FDR, NVIDIA K20x",romeo,5720,ROMEO HPC Center - Champagne-Ardenne,Bull SA,France,Academic,3640,384124,645120,0,Cluster,Intel Xeon E5-2650v2 8C 2.6GHz,Intel IvyBridge,2600,Bullx Linux,Linux,NVIDIA K20x,8,Intel Xeon E5 (IvyBridge),Bull R421-E3 Cluster,Bull Bullx,Infiniband,Infiniband FDR,Western Europe,Europe
7,181,260300,86.20,3019.69,Submission,2010,"Nitro G16 3GPU, Xeon E5-2650 8C 2GHz, Infiniband FDR, Nvidia K20m",CSIRO GPU Cluster,5376,CSIRO,Xenon Systems,Australia,Government,3328,333480.96,1261568,0,Cluster,Xeon E5-2650 8C 2GHz,Intel SandyBridge,2000,Linux,Linux,Nvidia K20m,8,Intel Xeon E5 (SandyBridge),Nitro G16 3GPU,Xenon Cluster,Infiniband,Infiniband FDR,Australia and New Zealand,Oceania
8,13,2739000,927.86,2951.94,Submission,2013,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x",TSUBAME 2.5,76032,"GSIC Center, Tokyo Institute of Technology",NEC/HP,Japan,Academic,59136,5735685.12,1700000,0,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,SUSE Linux Enterprise Server 11,Linux,NVIDIA K20x,6,Xeon 5600-series (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Infiniband,Infiniband QDR,Eastern Asia,Asia
9,11,3003000,1067.49,2813.14,Submission,2014,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, NVIDIA K20x",HPC2,62640,Exploration & Production - Eni S.p.A.,IBM,Italy,Industry,36540,4006350,3838464,0,Cluster,Intel Xeon E5-2680v2 10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Southern Europe,Europe
10,455,146241,54.60,2678.41,Submission,2013,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband, NVIDIA K20x",,3264,Financial Institution,IBM,United States,Industry,1904,208760,0,0,Cluster,Intel Xeon E5-2680v2 10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,North America,Americas
11,312,174199,66.25,2629.42,Submission,2014,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",,3888,Financial Institution,IBM,United Kingdom,Industry,2268,248670,0,0,Cluster,Intel Xeon E5-2680v2 10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Northern Europe,Europe
12,313,174199,66.25,2629.42,Submission,2014,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",,3888,Financial Institution,IBM,United Kingdom,Industry,2268,248670,0,0,Cluster,Intel Xeon E5-2680v2 10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Northern Europe,Europe
13,314,174199,66.25,2629.42,Submission,2014,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",,3888,Financial Institution,IBM,United Kingdom,Industry,2268,248670,0,0,Cluster,Intel Xeon E5-2680v2 10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Northern Europe,Europe
14,315,174199,66.25,2629.42,Submission,2014,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband FDR, NVIDIA K20x",,3888,Financial Institution,IBM,United Kingdom,Industry,2268,248670,0,0,Cluster,Intel Xeon E5-2680v2 10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Northern Europe,Europe
15,58,709700,269.94,2629.10,Submission,2013,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.800GHz, Infiniband, NVIDIA K20x",,15840,Max-Planck-Gesellschaft MPI/IPP,IBM,Germany,Research,9240,1013100,1048320,0,Cluster,Intel Xeon E5-2680v2 10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband,Western Europe,Europe
16,186,254328,101.93,2495.12,Top500,2014,"Cray CS300-LC, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, Intel Xeon Phi 5110P",Shadow,17920,Mississippi State University,Cray Inc.,United States,Academic,15360,315904,950000,0,Cluster,Intel Xeon E5-2680v2 10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,Intel Xeon Phi 5110P,10,Intel Xeon E5 (IvyBridge),Cray CS300-LC,Cray CS300,Infiniband,Infiniband FDR,North America,Americas
17,70,421200,179.15,2351.10,Submission,2012,"Adtech, ASUS ESC4000/FDR G2, Xeon E5-2650 8C 2.000GHz, Infiniband FDR, AMD FirePro S10000",SANAM,38400,King Abdulaziz City for Science and Technology,Adtech,Saudi Arabia,Research,33600,1098000,1904640,0,Cluster,Xeon E5-2650 8C 2GHz,Intel SandyBridge,2000,Linux,Linux,AMD FirePro S10000,8,Intel Xeon E5 (SandyBridge),Adtech ESC4000/FDR G2,Adtech Cluster,Infiniband,Infiniband FDR,Western Asia,Asia
