"","date","ExaRank","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"1",2012-06-01,1,"-2.242",20,1,16324751,7890,2069.04321926489,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom"
"2",2012-06-01,2,"-2.455",19,3,8162376,3945,2069.0433460076,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"3",2012-06-01,3,"-2.657",60,2,10510000,12659.9,830.180333177987,"SPARC64 VIIIfx 2.0GHz, Tofu interconnect"
"4",2012-06-01,4,"-2.927",11,7,1725492,821.9,2099.39408687188,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"5",2012-06-01,5,"-2.996",10,8,1380393,657.5,2099.45703422053,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"6",2012-06-01,6,"-3.025",39,4,2897000,2841,908.834917282647,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR"
"7",2012-06-01,7,"-3.037",9,13,1207844,575.3,2099.50286806883,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"8",2012-06-01,8,"-3.084",8,20,1035295,493.1,2099.56398296492,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"9",2012-06-01,9,"-3.173",87,5,2566000,4040,635.148514851485,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050"
"10",2012-06-01,10,"-3.209",13,29,690197,328.8,2099.13929440389,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"11",2012-06-01,11,"-3.209",14,30,690197,328.8,2099.13929440389,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"12",2012-06-01,12,"-3.209",15,31,690197,328.8,2099.13929440389,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"13",2012-06-01,13,"-3.282",28,14,1192000,1243.8,958.353433027818,"HP ProLiant SL390s G7 Xeon 6C X5670, Nvidia GPU, Linux/Windows"
"14",2012-06-01,14,"-3.297",12,36,517648,246.6,2099.1403081914,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"15",2012-06-01,15,"-3.347",43,18,1043000,1176.8,886.301835486064,"PRIMEHPC FX10, SPARC64 IXfx 16C 1.848GHz, Tofu interconnect"
"16",2012-06-01,16,"-3.383",92,9,1359000,2251,603.731674811195,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR"
"17",2012-06-01,17,"-3.418",131,6,1941000,5142,377.479579929988,"Cray XK6, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA 2090"
