"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","how.g","mflopswatt","totalcores.g","year.g","name.g","manufacturer.g","computer.g","site.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","efficiency.g","nmax.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"1",2013-06-01,1,-2.044,1,32,33862700,17808,"Top500",1901.54425,3120000,2013,"Tianhe-2 (MilkyWay-2)","NUDT","TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","National University of Defense Technology","China","Research",2736000,54902400,61.68,9960000,"Cluster","Intel Xeon E5-2692 12C 2.200GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia","Asia",NA,41,1,"Tianhe-2 (MilkyWay-2)","TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","National University of Defense Technology","NUDT","China",2013,"Research",3120000,2736000,33862700,54902400,62,9960000,0,17808,1902,"Cluster","Intel Xeon E5-2692 12C 2.200GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia","Asia"
"2",2013-06-01,2,-2.208,2,29,17590000,8209,"Top500",2142.77013,560640,2012,"Titan","Cray Inc.","Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","DOE/SC/Oak Ridge National Laboratory","United States","Research",261632,27112550,64.88,0,"MPP","Opteron 6274 16C 2.200GHz","AMD x86_64",2200,"Cray Linux Environment","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas",1,40,1,"Titan","Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","DOE/SC/Oak Ridge National Laboratory","Cray Inc.","United States",2012,"Research",560640,261632,17590000,27112550,65,0,0,8209,2143,"MPP","Opteron 6274 16C 2.200GHz","AMD x86_64",2200,"Cray Linux Environment ","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"3",2013-06-01,3,-2.211,3,19,17173224,7890,"Submission",2176.580989,1572864,2011,"Sequoia","IBM","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","DOE/NNSA/LLNL","United States","Research",0,20132659.2,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",2,38,17,"Sequoia","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","DOE/NNSA/LLNL","IBM","United States",2011,"Research",1572864,0,17173224,20132659,85,0,0,7890,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"5",2013-06-01,4,-2.424,5,23,8586612,3945,"Submission",2176.580989,786432,2012,"Mira","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory","United States","Research",0,10066330,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",4,39,3,"Mira","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory","IBM","United States",2012,"Research",786432,0,8586612,10066330,85,0,0,3945,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"7",2013-06-01,5,-2.589,7,14,5008857,2301,"Submission",2176.817471,458752,2012,"JUQUEEN","IBM","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Forschungszentrum Juelich (FZJ)","Germany","Research",0,5872025.6,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",5,39,8,"JUQUEEN","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Forschungszentrum Juelich (FZJ)","IBM","Germany",2012,"Research",458752,0,5008857,5872026,85,0,0,2301,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"8",2013-06-01,6,-2.636,8,13,4293306,1972,"Submission",2177.13286,393216,2012,"Vulcan","IBM","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","DOE/NNSA/LLNL","United States","Research",0,5033165,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",65,39,48,"Vulcan","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","DOE/NNSA/LLNL","IBM","United States",2012,"Research",393216,0,4293306,5033165,85,0,0,1972,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"4",2013-06-01,7,-2.657,4,97,10510000,12659.89,"Top500",830.1809889,705024,2011,"","Fujitsu","K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","RIKEN Advanced Institute for Computational Science (AICS)","Japan","Research",0,11280384,93.17,11870208,"Cluster","SPARC64 VIIIfx 8C 2.000GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",3,37,1,"","K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","Japan",2011,"Research",705024,0,10510000,11280384,93,11870208,0,12660,830,"Cluster","SPARC64 VIIIfx 8C 2.000GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"6",2013-06-01,8,-2.776,6,42,5168110,4510,"Top500",1145.922395,462462,2012,"Stampede","Dell","PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","Texas Advanced Computing Center/Univ. of Texas","United States","Academic",366366,8520111.6,60.66,3875000,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi SE10P",8,"Intel Xeon E5 (SandyBridge)","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",7,40,7,"Stampede","PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","Texas Advanced Computing Center/Univ. of Texas","Dell","United States",2012,"Academic",462462,366366,5168110,8520112,61,3875000,0,4510,1146,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi SE10P",8,"Intel Xeon E5 (SandyBridge)","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas"
"12",2013-06-01,9,-2.905,12,24,1788878,821.88,"Submission",2176.568355,163840,2012,"Fermi","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CINECA","Italy","Academic",0,2097152,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Southern Europe","Europe",9,39,7,"Fermi","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CINECA","IBM","Italy",2012,"Academic",163840,0,1788878,2097152,85,0,0,822,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Southern Europe","Europe"
"18",2013-06-01,10,-3.015,18,18,1252214,575.31,"Submission",2176.590012,114688,2012,"Blue Joule","IBM","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Science and Technology Facilities Council - Daresbury Laboratory","United Kingdom","Research",0,1468006,85.3,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Northern Europe","Europe",16,39,13,"Blue Joule","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Science and Technology Facilities Council - Daresbury Laboratory","IBM","United Kingdom",2012,"Research",114688,0,1252214,1468006,85,0,0,575,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
