"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt","how.g","year.g","computer.g","name.g","totalcores.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"1",2014-06-01,1,-2.044,1,49,33862700,17808,1901.54,"Top500",2013,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","Tianhe-2 (MilkyWay-2)",3120000,"National Super Computer Center in Guangzhou","NUDT","China","Research",2736000,54902400,9960000,0,"Cluster","Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia","Asia",1,41,1,"Tianhe-2 (MilkyWay-2)","TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","National Super Computer Center in Guangzhou","NUDT","China",2013,"Research",3120000,2736000,33862700,54902400,9960000,0,17808,1902,"Cluster","Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia","Asia"
"2",2014-06-01,2,-2.208,2,43,17590000,8208,2143.03,"Submission",2012,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","Titan",560640,"DOE/SC/Oak Ridge National Laboratory","Cray Inc.","United States","Research",261632,27112550,0,0,"MPP","Opteron 6274 16C 2.2GHz","AMD x86_64",2200,"Cray Linux Environment","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas",2,40,1,"Titan","Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","DOE/SC/Oak Ridge National Laboratory","Cray Inc.","United States",2012,"Research",560640,261632,17590000,27112550,0,0,8209,2143,"MPP","Opteron 6274 16C 2.2GHz","AMD x86_64",2200,"Cray Linux Environment ","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"3",2014-06-01,3,-2.211,3,38,17173224,7890,2176.58,"Submission",2011,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","Sequoia",1572864,"DOE/NNSA/LLNL","IBM","United States","Research",0,20132659.2,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",3,38,17,"Sequoia","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","DOE/NNSA/LLNL","IBM","United States",2011,"Research",1572864,0,17173224,20132659,0,0,7890,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"6",2014-06-01,4,-2.403,6,5,5587000,1753.66,3185.91,"Submission",2012,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","Piz Daint",115984,"Swiss National Supercomputing Centre (CSCS)","Cray Inc.","Switzerland","Research",73808,7788852.8,4128768,0,"MPP","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Cray Linux Environment","Linux","NVIDIA K20x",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect","Western Europe","Europe",6,40,114,"Piz Daint","Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","Swiss National Supercomputing Centre (CSCS)","Cray Inc.","Switzerland",2012,"Research",115984,73808,6271000,7788853,4128768,0,2325,2697,"MPP","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","NVIDIA K20x",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe"
"5",2014-06-01,5,-2.424,5,37,8586612,3945,2176.58,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Mira",786432,"DOE/SC/Argonne National Laboratory","IBM","United States","Research",0,10066330,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",5,39,3,"Mira","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory","IBM","United States",2012,"Research",786432,0,8586612,10066330,0,0,3945,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"8",2014-06-01,6,-2.589,8,29,5008857,2301,2176.82,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","JUQUEEN",458752,"Forschungszentrum Juelich (FZJ)","IBM","Germany","Research",0,5872025.6,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",8,39,8,"JUQUEEN","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Forschungszentrum Juelich (FZJ)","IBM","Germany",2012,"Research",458752,0,5008857,5872026,0,0,2301,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"9",2014-06-01,7,-2.636,9,27,4293306,1972,2177.13,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Vulcan",393216,"DOE/NNSA/LLNL","IBM","United States","Research",0,5033165,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",9,39,48,"Vulcan","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","DOE/NNSA/LLNL","IBM","United States",2012,"Research",393216,0,4293306,5033165,0,0,1972,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"4",2014-06-01,8,-2.657,4,125,10510000,12659.89,830.18,"Top500",2011,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","",705024,"RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","Japan","Research",0,11280384,11870208,0,"Cluster","SPARC64 VIIIfx 8C 2GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",4,37,1,"","K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","Japan",2011,"Research",705024,0,10510000,11280384,11870208,0,12660,830,"Cluster","SPARC64 VIIIfx 8C 2GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"11",2014-06-01,9,-2.667,11,9,3003000,1067.49,2813.14,"Submission",2014,"iDataPlex DX360M4, Intel Xeon E5-2680v2 10C 2.8GHz, Infiniband FDR, NVIDIA K20x","HPC2",62640,"Exploration & Production - Eni S.p.A.","IBM","Italy","Industry",36540,4006350,3838464,0,"Cluster","Intel Xeon E5-2680v2 10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","NVIDIA K20x",10,"Intel Xeon E5 (IvyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe",NA,43,11,"HPC2","iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x","Exploration & Production - Eni S.p.A.","IBM","Italy",2014,"Industry",62640,36540,3003000,4006350,3838464,0,1067,2813,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","NVIDIA K20x",10,"Intel Xeon E5 (IvyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe"
"13",2014-06-01,10,-2.676,13,8,2739000,927.86,2951.94,"Submission",2013,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","TSUBAME 2.5",76032,"GSIC Center, Tokyo Institute of Technology","NEC/HP","Japan","Academic",59136,5735685.12,1700000,0,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"SUSE Linux Enterprise Server 11","Linux","NVIDIA K20x",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia",11,42,11,"TSUBAME 2.5","Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x","GSIC Center, Tokyo Institute of Technology","NEC/HP","Japan",2013,"Academic",76032,59136,2785000,5735685,1700000,0,1399,1991,"Cluster","Xeon X5670 6C 2.93GHz","Intel Nehalem",2930,"SUSE Linux Enterprise Server 11","Linux","NVIDIA K20x",6,"Xeon 5600-series (Westmere-EP)","Cluster Platform SL390s G7","HP Cluster Platform 3000SL","Infiniband","Infiniband QDR","Eastern Asia","Asia"
"7",2014-06-01,11,-2.776,7,60,5168110,4510,1145.92,"Top500",2012,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","Stampede",462462,"Texas Advanced Computing Center/Univ. of Texas","Dell","United States","Academic",366366,8520111.6,3875000,0,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi SE10P",8,"Intel Xeon E5 (SandyBridge)","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",7,40,7,"Stampede","PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","Texas Advanced Computing Center/Univ. of Texas","Dell","United States",2012,"Academic",462462,366366,5168110,8520112,3875000,0,4510,1146,"Cluster","Xeon E5-2680 8C 2.7GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi SE10P",8,"Intel Xeon E5 (SandyBridge)","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas"
"15",2014-06-01,12,-2.857,15,52,2345780,1307.6,1793.96,"Submission",2013,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","cascade",194616,"DOE/SC/Pacific Northwest National Laboratory","Atipa Technology","United States","Research",171720,3388032,4032000,0,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Atipa Visione IF442 Blade Server","Atipa Cluster","Infiniband","Infiniband FDR","North America","Americas",13,42,13,"cascade","Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P","DOE/SC/Pacific Northwest National Laboratory","Atipa Technology","United States",2013,"Research",194616,171720,2539130,3388032,4032000,0,1384,1835,"Cluster","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Linux","Linux","Intel Xeon Phi 5110P",8,"Intel Xeon E5 (SandyBridge)","Atipa Visione IF442 Blade Server","Atipa Cluster","Infiniband","Infiniband FDR","North America","Americas"
"17",2014-06-01,13,-2.905,17,39,1788878,821.88,2176.57,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Fermi",163840,"CINECA","IBM","Italy","Academic",0,2097152,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Southern Europe","Europe",15,39,7,"Fermi","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CINECA","IBM","Italy",2012,"Academic",163840,0,1788878,2097152,0,0,822,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Southern Europe","Europe"
