"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt.g","how.g","year.g","name.g","totalcores.g","computer.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t","rmax","mflopswatt"
"1",2015-06-01,1,-2.044,1,83,33862700,17808,1901.544249,"Top500",2013,"Tianhe-2 (MilkyWay-2)",3120000,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","National Super Computer Center in Guangzhou","NUDT","China","Research",2736000,54902400,9960000,0,"Cluster","Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia","Asia",1,41,1,"Tianhe-2 (MilkyWay-2)","TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","National Super Computer Center in Guangzhou","NUDT","China",2013,"Research",3120000,2736000,33862700,54902400,9960000,0,17808,1902,"Cluster","Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia","Asia",33862700,1901.544249
"2",2015-06-01,2,-2.208,2,64,17590000,8209,2142.77013,"Submission",2012,"Titan",560640,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","DOE/SC/Oak Ridge National Laboratory","Cray Inc.","United States","Research",261632,27112550,0,0,"MPP","Opteron 6274 16C 2.2GHz","AMD x86_64",2200,"Cray Linux Environment ","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas",2,40,1,"Titan","Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","DOE/SC/Oak Ridge National Laboratory","Cray Inc.","United States",2012,"Research",560640,261632,17590000,27112550,0,0,8209,2143,"MPP","Opteron 6274 16C 2.2GHz","AMD x86_64",2200,"Cray Linux Environment ","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas",17590000,2142.77013
"3",2015-06-01,3,-2.211,3,59,17173224,7890,2176.580989,"Submission",2011,"Sequoia",1572864,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","DOE/NNSA/LLNL","IBM","United States","Research",0,20132659.2,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",3,38,17,"Sequoia","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","DOE/NNSA/LLNL","IBM","United States",2011,"Research",1572864,0,17173224,20132659,0,0,7890,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",17173224,2176.580989
"6",2015-06-01,4,-2.403,6,13,5587000,1753.66,3185.908329,"Submission",2012,"Piz Daint",115984,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","Swiss National Supercomputing Centre (CSCS)","Cray Inc.","Switzerland","Research",73808,7788852.8,4128768,0,"MPP","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","NVIDIA K20x",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",6,40,114,"Piz Daint","Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","Swiss National Supercomputing Centre (CSCS)","Cray Inc.","Switzerland",2012,"Research",115984,73808,6271000,7788853,4128768,0,2325,2697,"MPP","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","NVIDIA K20x",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",6271000,3185.908329
"5",2015-06-01,5,-2.424,5,56,8586612,3945,2176.580989,"Submission",2012,"Mira",786432,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory","IBM","United States","Research",0,10066330,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",5,39,3,"Mira","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory","IBM","United States",2012,"Research",786432,0,8586612,10066330,0,0,3945,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",8586612,2176.580989
"9",2015-06-01,6,-2.589,9,51,5008857,2301,2176.817471,"Submission",2012,"JUQUEEN",458752,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Forschungszentrum Juelich (FZJ)","IBM","Germany","Research",0,5872025.6,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",8,39,8,"JUQUEEN","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Forschungszentrum Juelich (FZJ)","IBM","Germany",2012,"Research",458752,0,5008857,5872026,0,0,2301,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",5008857,2176.817471
"7",2015-06-01,7,-2.591,7,75,5536990,2834,1953.772054,"Top500",2015,"Shaheen II",196608,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","King Abdullah University of Science and Technology","Cray Inc.","Saudi Arabia","Academic",0,7235174,9738048,0,"Cluster","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Asia","Asia",NA,45,7,"Shaheen II","Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","King Abdullah University of Science and Technology","Cray Inc.","Saudi Arabia",2015,"Academic",196608,0,5536990,7235174,9738048,0,2834,1954,"Cluster","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC40","Cray XC","Custom Interconnect","Aries interconnect ","Western Asia","Asia",5536990,1953.772054
"10",2015-06-01,8,-2.636,10,49,4293306,1972,2177.13286,"Submission",2012,"Vulcan",393216,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","DOE/NNSA/LLNL","IBM","United States","Research",0,5033165,0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",9,39,48,"Vulcan","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","DOE/NNSA/LLNL","IBM","United States",2012,"Research",393216,0,4293306,5033165,0,0,1972,2177,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",4293306,2177.13286
"12",2015-06-01,9,-2.645,12,41,4042460,1800,2245.811111,"Top500",2015,"Abel",145920,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","Petroleum Geo-Services","Cray Inc.","United States","Industry",0,5369856,8338176,0,"MPP","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas",NA,45,12,"Abel","Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ","Petroleum Geo-Services","Cray Inc.","United States",2015,"Industry",145920,0,4042460,5369856,8338176,0,1800,2246,"MPP","Xeon E5-2698v3 16C 2.3GHz","Intel Haswell",2300,"Cray Linux Environment ","Linux","None",16,"Intel Xeon E5 (Haswell)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","North America","Americas",4042460,2245.811111
"4",2015-06-01,10,-2.657,4,197,10510000,12659.89,830.180988,"Top500",2011,"K Computer",705024,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","Japan","Research",0,11280384,11870208,0,"Cluster","SPARC64 VIIIfx 8C 2GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",4,37,1,"","K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","Japan",2011,"Research",705024,0,10510000,11280384,11870208,0,12660,830,"Cluster","SPARC64 VIIIfx 8C 2GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",10510000,830.180988
