"","date","ExaRank","exascalar","top500rank","green500rank.g","site.g","manufacturer.g","name.g","computer.g","country.g","mflopswatt","power.g","cores.g","rmax.g","rpeak.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax","rpeak.t","efficiency.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"1",2012-11-01,1,-2.208,1,3,"DOE/SC/Oak Ridge National Laboratory","Cray Inc.","Titan","Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","United States",2142.77013,8209,560640,17590000,27112550,NA,40,1,"Titan","Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","DOE/SC/Oak Ridge National Laboratory","Cray Inc.","United States",2012,"Research",560640,261632,17590000,27112550,65,0,0,8209,2143,"MPP","Opteron 6274 16C 2.200GHz","AMD x86_64",2200,"Cray Linux Environment ","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"2",2012-11-01,2,-2.242,2,29,"DOE/NNSA/LLNL","IBM","Sequoia","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","United States",2069.043219,7890,1572864,16324751,20132659.2,1,38,17,"Sequoia","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","DOE/NNSA/LLNL","IBM","United States",2011,"Research",1572864,0,16324751,20132659,81,12681215,0,7890,2069,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"4",2012-11-01,3,-2.455,4,28,"DOE/SC/Argonne National Laboratory","IBM","Mira","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United States",2069.043346,3945,786432,8162376,10066330,3,39,3,"Mira","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory","IBM","United States",2012,"Research",786432,0,8162376,10066330,81,0,0,3945,2069,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"3",2012-11-01,4,-2.657,3,85,"RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","","K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","Japan",830.1809889,12659.89,705024,10510000,11280384,2,37,1,"","K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","Japan",2011,"Research",705024,0,10510000,11280384,93,11870208,0,12660,830,"Cluster","SPARC64 VIIIfx 8C 2.000GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"5",2012-11-01,5,-2.658,5,5,"Forschungszentrum Juelich (FZJ)","IBM","JUQUEEN","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Germany",2102.121827,1970,393216,4141180,5033165,8,39,8,"JUQUEEN","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Forschungszentrum Juelich (FZJ)","IBM","Germany",2012,"Research",393216,0,4141180,5033165,82,6422527,0,1970,2102,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"9",2012-11-01,6,-2.927,9,23,"CINECA","IBM","Fermi","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Italy",2099.445174,821.88,163840,1725492,2097152,7,39,7,"Fermi","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CINECA","IBM","Italy",2012,"Academic",163840,0,1725492,2097152,82,0,0,822,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Southern Europe","Europe"
"16",2012-11-01,7,-3.037,16,19,"Science and Technology Facilities Council - Daresbury Laboratory","IBM","Blue Joule","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United Kingdom",2099.466375,575.31,114688,1207844,1468006,13,39,13,"Blue Joule","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Science and Technology Facilities Council - Daresbury Laboratory","IBM","United Kingdom",2012,"Research",114688,0,1207844,1468006,82,0,0,575,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
"6",2012-11-01,8,-3.047,6,82,"Leibniz Rechenzentrum","IBM","SuperMUC","iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","Germany",846.4152255,3422.67,147456,2897000,3185050,4,39,4,"SuperMUC","iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","Leibniz Rechenzentrum","IBM","Germany",2012,"Academic",147456,0,2897000,3185050,91,5201920,0,3423,846,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe"
"23",2012-11-01,9,-3.084,23,18,"University of Edinburgh","IBM","DiRAC","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","United Kingdom",2099.478829,493.12,98304,1035295,1258291,20,39,20,"DiRAC","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","University of Edinburgh","IBM","United Kingdom",2012,"Academic",98304,0,1035295,1258291,82,0,0,493,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Northern Europe","Europe"
"8",2012-11-01,10,-3.173,8,121,"National Supercomputing Center in Tianjin","NUDT","Tianhe-1A","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","China",635.1485149,4040,186368,2566000,4701000,5,36,1,"Tianhe-1A","NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050","National Supercomputing Center in Tianjin","NUDT","China",2010,"Research",186368,100352,2566000,4701000,55,3600000,1000000,4040,635,"MPP","Xeon X5670 6C 2.930GHz","Intel Nehalem",2930,"Linux","Linux","NVIDIA 2050",6,"Xeon 5600-series (Westmere-EP)","NUDT YH MPP","NUDT MPP","Proprietary Network","Proprietary","Eastern Asia","Asia"
"31",2012-11-01,11,-3.209,31,22,"Victorian Life Sciences Computation Initiative","IBM","Avoca","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Australia",2099.458555,328.75,65536,690197,838861,29,39,29,"","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","CNRS/IDRIS-GENCI","IBM","France",2012,"Academic",65536,0,690197,838861,82,0,0,329,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"32",2012-11-01,12,-3.209,32,21,"EDF R&D","IBM","Zumbrota","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","France",2099.458555,328.75,65536,690197,838861,30,39,30,"Zumbrota","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","EDF R&D","IBM","France",2012,"Industry",65536,0,690197,838861,82,0,0,329,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"33",2012-11-01,13,-3.209,33,20,"CNRS/IDRIS-GENCI","IBM","","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","France",2099.458555,328.75,65536,690197,838861,31,39,31,"Avoca","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","Victorian Life Sciences Computation Initiative","IBM","Australia",2012,"Research",65536,0,690197,838861,82,0,0,329,2099,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Australia and New Zealand","Oceania"
