"","top500rank","green500rank.g","rmax.g","power.g","mflopswatt.g","how.g","year.g","name.g","totalcores.g","manufacturer.g","site.g","country.g","rpeak.g","segment.g","acceleratorcoprocessorcores.g","nmax.g","architecture.g","processor.g","processorfamily.g","procfrequency.g","os.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t"
"1",1,40,33862700,17808,1901.54425,"Top500",2013,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P",3120000,"NUDT","National Super Computer Center in Guangzhou","China",54902400,"Research",2736000,9960000,"Cluster","Intel Xeon E5-2692v2 12C 2.200GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia","Asia",1,41,1,"Tianhe-2 (MilkyWay-2)","TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","National Super Computer Center in Guangzhou","NUDT","China",2013,"Research",3120000,2736000,33862700,54902400,9960000,0,17808,1902,"Cluster","Intel Xeon E5-2692v2 12C 2.200GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia","Asia"
"2",2,35,17590000,8209,2142.77013,"Submission",2012,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x",560640,"Cray Inc.","DOE/SC/Oak Ridge National Laboratory","United States",27112550,"Research",261632,0,"MPP","Opteron 6274 16C 2.200GHz","AMD x86_64",2200,"Cray Linux Environment ","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas",2,40,1,"Titan","Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","DOE/SC/Oak Ridge National Laboratory","Cray Inc.","United States",2012,"Research",560640,261632,17590000,27112550,0,0,8209,2143,"MPP","Opteron 6274 16C 2.200GHz","AMD x86_64",2200,"Cray Linux Environment ","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas"
"3",3,26,17173224,7890,2176.580989,"Submission",2011,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",1572864,"IBM","DOE/NNSA/LLNL","United States",20132659.2,"Research",0,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",3,38,17,"Sequoia","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","DOE/NNSA/LLNL","IBM","United States",2011,"Research",1572864,0,17173224,20132659,0,0,7890,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"4",4,123,10510000,12659.89,830.1809889,"Top500",2011,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",705024,"Fujitsu","RIKEN Advanced Institute for Computational Science (AICS)","Japan",11280384,"Research",0,11870208,"Cluster","SPARC64 VIIIfx 8C 2.000GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",4,37,1,"","K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","Japan",2011,"Research",705024,0,10510000,11280384,11870208,0,12660,830,"Cluster","SPARC64 VIIIfx 8C 2.000GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia"
"5",5,27,8586612,3945,2176.580989,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",786432,"IBM","DOE/SC/Argonne National Laboratory","United States",10066330,"Research",0,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",5,39,3,"Mira","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory","IBM","United States",2012,"Research",786432,0,8586612,10066330,0,0,3945,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"6",6,4,5587000,1753.66,3185.908329,"Submission",2012,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x",115984,"Cray Inc.","Swiss National Supercomputing Centre (CSCS)","Switzerland",7787000,"Research",73808,4128768,"MPP","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","NVIDIA K20x",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",42,40,114,"Piz Daint","Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","Swiss National Supercomputing Centre (CSCS)","Cray Inc.","Switzerland",2012,"Research",115984,73808,6271000,7788853,4128768,0,2325,2697,"MPP","Xeon E5-2670 8C 2.600GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","NVIDIA K20x",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe"
"7",7,52,5168110,4510,1145.922395,"Top500",2012,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P",462462,"Dell","Texas Advanced Computing Center/Univ. of Texas","United States",8520111.6,"Academic",366366,3875000,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi SE10P",8,"Intel Xeon E5 (SandyBridge)","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas",6,40,7,"Stampede","PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P","Texas Advanced Computing Center/Univ. of Texas","Dell","United States",2012,"Academic",462462,366366,5168110,8520112,3875000,0,4510,1146,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","Intel Xeon Phi SE10P",8,"Intel Xeon E5 (SandyBridge)","PowerEdge C8220","Dell PowerEdge Cluster","Infiniband","Infiniband FDR","North America","Americas"
"8",8,20,5008857,2301,2176.817471,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",458752,"IBM","Forschungszentrum Juelich (FZJ)","Germany",5872025.6,"Research",0,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",7,39,8,"JUQUEEN","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Forschungszentrum Juelich (FZJ)","IBM","Germany",2012,"Research",458752,0,5008857,5872026,0,0,2301,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe"
"9",9,19,4293306,1972,2177.13286,"Submission",2012,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",393216,"IBM","DOE/NNSA/LLNL","United States",5033165,"Research",0,0,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",8,39,48,"Vulcan","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","DOE/NNSA/LLNL","IBM","United States",2012,"Research",393216,0,4293306,5033165,0,0,1972,2177,"MPP","Power BQC 16C 1.600GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas"
"10",10,95,2582000,2841,908.8349173,"Submission",2012,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR",147456,"IBM","Leibniz Rechenzentrum","Germany",3185050,"Academic",0,5201920,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe",9,39,4,"SuperMUC","iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR","Leibniz Rechenzentrum","IBM","Germany",2012,"Academic",147456,0,2897000,3185050,5201920,0,3423,846,"Cluster","Xeon E5-2680 8C 2.700GHz","Intel SandyBridge",2700,"Linux","Linux","None",8,"Intel Xeon E5 (SandyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Western Europe","Europe"
