"","date","ExaRank","exascalar","green500rank","top500rank","rmax","power","mflopswatt","computer"
"1",2014-11-01,1,-2.044,64,1,33862700,17808,1901.54425,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P"
"2",2014-11-01,2,-2.208,53,2,17590000,8209,2142.77013,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x"
"3",2014-11-01,3,-2.211,48,3,17173224,7890,2176.580989,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom"
"6",2014-11-01,4,-2.403,9,6,6271000,1753.66,3185.908329,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x"
"5",2014-11-01,5,-2.424,47,5,8586612,3945,2176.580989,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"8",2014-11-01,6,-2.589,40,8,5008857,2301,2176.817471,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"9",2014-11-01,7,-2.636,38,9,4293306,1972,2177.13286,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
"4",2014-11-01,8,-2.657,156,4,10510000,12659.89,830.1809889,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect"
"10",2014-11-01,9,-2.664,22,10,3577000,1498.9,2386.416706,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40"
"12",2014-11-01,10,-2.673,18,12,3188000,1227,2598.207009,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x"
"15",2014-11-01,11,-2.676,12,15,2785000,927.86,2951.941233,"Cluster Platform SL390s G7, Xeon X5670 6C 2.93GHz, Infiniband QDR, NVIDIA K20x"
"7",2014-11-01,12,-2.776,91,7,5168110,4510,1145.922395,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi SE10P"
"16",2014-11-01,13,-2.825,69,16,2763000,1512,1827.380952,"Cray XC40, Xeon E5-2680v3 12C 2.5GHz, Aries interconnect "
"18",2014-11-01,14,-2.85,68,18,2539130,1384,1834.631503,"Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P"
"21",2014-11-01,15,-2.874,57,21,2071390,997,2077.622869,"Tianhe-2 LvLiang, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Intel Xeon Phi 31S1P"
"19",2014-11-01,16,-2.881,74,19,2485000,1465.78125,1695.341648,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect "
"23",2014-11-01,17,-2.905,49,23,1788878,821.88,2176.568355,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"11",2014-11-01,18,-2.927,97,11,3375600,3140.7,1074.792244,"SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3  2.6/2.8/2.5 GHz, Infiniband FDR"
"30",2014-11-01,19,-2.974,36,30,1431102,657,2178.237443,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"26",2014-11-01,20,-3.002,71,26,1628770,934.8,1742.3727,"bullx  DLC, Xeon E5-2690v3 12C 2.6GHz, Infiniband FDR"
"32",2014-11-01,21,-3.043,70,32,1397000,785.625,1778.202068,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect "
"14",2014-11-01,22,-3.047,152,14,2897000,3422.67,846.4152255,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR"
"42",2014-11-01,23,-3.062,37,42,1073327,493,2177.133874,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"43",2014-11-01,24,-3.062,42,43,1073327,493.12,2176.604072,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"37",2014-11-01,25,-3.067,67,37,1250000,680,1838.235294,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect "
"46",2014-11-01,26,-3.079,55,46,1052000,500,2104,"Dell C8220X Cluster, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x"
"20",2014-11-01,27,-3.098,106,20,2098090,2118,990.5996223,"SGI ICE X, Xeon E5-2670 8C 2.600GHz, Infiniband FDR"
"59",2014-11-01,28,-3.118,41,59,894439,410.9,2176.780239,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom"
"53",2014-11-01,29,-3.13,63,53,976763,510,1915.221569,"Cluster Platform SL250s Gen8, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P"
"77",2014-11-01,30,-3.131,17,77,709700,269.94,2629.102764,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.800GHz, Infiniband, NVIDIA K20x"
"56",2014-11-01,31,-3.144,65,56,944800,499.5279258,1891.585938,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect "
"41",2014-11-01,32,-3.155,77,41,1097558,697.5,1573.559857,"Cray XC40, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect "
"168",2014-11-01,33,-3.165,1,168,316700,57.153,5271.8142,"ASUS ESC4000 FDR/G2S, Intel Xeon E5-2690v2 10C 3GHz, Infiniband FDR, AMD FirePro S9150"
"17",2014-11-01,34,-3.173,212,17,2566000,4040,635.1485149,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050"
"13",2014-11-01,35,-3.186,229,13,3143520,6327.55,496.798762,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect "
"72",2014-11-01,36,-3.186,34,72,715551,328,2181.557927,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect"
