"","date","ExaRank","exascalar","top500rank","green500rank.g","rmax.g","power.g","mflopswatt","how.g","notes.g","year.g","name.g","totalcores.g","computer.g","site.g","manufacturer.g","country.g","segment.g","acceleratorcoprocessorcores.g","rpeak.g","nmax.g","nhalf.g","architecture.g","processor.g","processortechnology.g","processorspeedmhz.g","oatingsystem.g","osfamily.g","acceleratorcoprocessor.g","coressocket.g","processorgeneration.g","systemmodel.g","systemfamily.g","interconnectfamily.g","interconnect.g","region.g","continent.g","previoustop500rank","firstappearance.t","firsttop500rank","name.t","computer.t","site.t","manufacturer.t","country.t","year.t","segment.t","totalcores.t","acceleratorcoprocessorcores.t","rmax.t","rpeak.t","nmax.t","nhalf.t","power.t","mflopswatt.t","architecture.t","processor.t","processortechnology.t","processorspeedmhz.t","oatingsystem.t","osfamily.t","acceleratorcoprocessor.t","coressocket.t","processorgeneration.t","systemmodel.t","systemfamily.t","interconnectfamily.t","interconnect.t","region.t","continent.t","rmax"
"1",2014-11-01,1,-2.044,1,64,33862700,17808,1901.54425,"Top500","",2013,"Tianhe-2 (MilkyWay-2)",3120000,"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","National Super Computer Center in Guangzhou","NUDT","China","Research",2736000,"54902400",9960000,0,"Cluster","Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia","Asia",1,41,1,"Tianhe-2 (MilkyWay-2)","TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P","National Super Computer Center in Guangzhou","NUDT","China",2013,"Research",3120000,2736000,"33862700",54902400,9960000,0,17808,1901.54,"Cluster","Intel Xeon E5-2692v2 12C 2.2GHz","Intel IvyBridge",2200,"Kylin Linux","Linux","Intel Xeon Phi 31S1P",12,"Intel Xeon E5 (IvyBridge)","TH-IVB-FEP Cluster","TH-IVB Cluster","Custom Interconnect","TH Express-2","Eastern Asia","Asia",33862700
"2",2014-11-01,2,-2.208,2,53,17590000,8209,2142.77013,"Submission","",2012,"Titan",560640,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","DOE/SC/Oak Ridge National Laboratory","Cray Inc.","United States","Research",261632,"27112550",0,0,"MPP","Opteron 6274 16C 2.2GHz","AMD x86_64",2200,"Cray Linux Environment ","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas",2,40,1,"Titan","Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x","DOE/SC/Oak Ridge National Laboratory","Cray Inc.","United States",2012,"Research",560640,261632,"17590000",27112550,0,0,8209,2142.77,"MPP","Opteron 6274 16C 2.2GHz","AMD x86_64",2200,"Cray Linux Environment ","Linux","NVIDIA K20x",16,"Opteron 6200 Series ""Interlagos""","Cray XK7 ","Cray XK","Cray Interconnect","Cray Gemini interconnect","North America","Americas",17590000
"3",2014-11-01,3,-2.211,3,48,17173224,7890,2176.580989,"Submission","",2011,"Sequoia",1572864,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","DOE/NNSA/LLNL","IBM","United States","Research",0,"20,132,659.2",0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",3,38,17,"Sequoia","BlueGene/Q, Power BQC 16C 1.60 GHz, Custom","DOE/NNSA/LLNL","IBM","United States",2011,"Research",1572864,0,"17173224",20132659.2,0,0,7890,2176.58,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",17173224
"6",2014-11-01,4,-2.403,6,9,5587000,1753.66,3185.908329,"Submission","Rmax and Power different from Top500",2012,"Piz Daint",115984,"Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","Swiss National Supercomputing Centre (CSCS)","Cray Inc.","Switzerland","Research",73808,"7,788,852.8",4128768,0,"MPP","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","NVIDIA K20x",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",6,40,114,"Piz Daint","Cray XC30, Xeon E5-2670 8C 2.600GHz, Aries interconnect , NVIDIA K20x","Swiss National Supercomputing Centre (CSCS)","Cray Inc.","Switzerland",2012,"Research",115984,73808,"6271000",7788852.8,4128768,0,2325,2697.2,"MPP","Xeon E5-2670 8C 2.6GHz","Intel SandyBridge",2600,"Cray Linux Environment ","Linux","NVIDIA K20x",8,"Intel Xeon E5 (SandyBridge)","Cray XC30","Cray XC","Custom Interconnect","Aries interconnect ","Western Europe","Europe",6271000
"5",2014-11-01,5,-2.424,5,47,8586612,3945,2176.580989,"Submission","",2012,"Mira",786432,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory","IBM","United States","Research",0,"10066330",0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",5,39,3,"Mira","BlueGene/Q, Power BQC 16C 1.60GHz, Custom","DOE/SC/Argonne National Laboratory","IBM","United States",2012,"Research",786432,0,"8586612",10066330,0,0,3945,2176.58,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",8586612
"8",2014-11-01,6,-2.589,8,40,5008857,2301,2176.817471,"Submission","",2012,"JUQUEEN",458752,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Forschungszentrum Juelich (FZJ)","IBM","Germany","Research",0,"5,872,025.6",0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",8,39,8,"JUQUEEN","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","Forschungszentrum Juelich (FZJ)","IBM","Germany",2012,"Research",458752,0,"5008857",5872025.6,0,0,2301,2176.82,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","Western Europe","Europe",5008857
"9",2014-11-01,7,-2.636,9,38,4293306,1972,2177.13286,"Submission","",2012,"Vulcan",393216,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","DOE/NNSA/LLNL","IBM","United States","Research",0,"5033165",0,0,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",9,39,48,"Vulcan","BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect","DOE/NNSA/LLNL","IBM","United States",2012,"Research",393216,0,"4293306",5033165,0,0,1972,2177.13,"MPP","Power BQC 16C 1.6GHz","PowerPC",1600,"Linux","Linux","None",16,"Power BQC","BlueGene/Q","IBM BlueGene","Custom Interconnect","Custom Interconnect","North America","Americas",4293306
"4",2014-11-01,8,-2.657,4,156,10510000,12659.89,830.1809889,"Top500","",2011,"K computer",705024,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","Japan","Research",0,"11280384",11870208,0,"Cluster","SPARC64 VIIIfx 8C 2GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",4,37,1,"","K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect","RIKEN Advanced Institute for Computational Science (AICS)","Fujitsu","Japan",2011,"Research",705024,0,"10510000",11280384,11870208,0,12659.89,830.18,"Cluster","SPARC64 VIIIfx 8C 2GHz","Sparc",2000,"Linux","Linux","None",8,"SPARC64 VIIIfx","K computer","Fujitsu Cluster","Custom Interconnect","Custom Interconnect","Eastern Asia","Asia",10510000
"10",2014-11-01,9,-2.664,10,22,3577000,1498.9,2386.416706,"Top500","",2014,"",72800,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","Government","Cray Inc.","United States","Government",62400,"6131840",2336000,0,"Cluster","Intel Xeon E5-2660v2 10C 2.2GHz","Intel IvyBridge",2200,"Linux","Linux","Nvidia K40",10,"Intel Xeon E5 (IvyBridge)","Cray CS-Storm","Cray CS-Storm","Infiniband","Infiniband FDR","North America","Americas",NA,44,10,"","Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40","Government","Cray Inc.","United States",2014,"Government",72800,62400,"3577000",6131840,2336000,0,1498.9,2386.42,"Cluster","Intel Xeon E5-2660v2 10C 2.2GHz","Intel IvyBridge",2200,"Linux","Linux","Nvidia K40",10,"Intel Xeon E5 (IvyBridge)","Cray CS-Storm","Cray CS-Storm","Infiniband","Infiniband FDR","North America","Americas",3577000
"12",2014-11-01,10,-2.673,12,18,3188000,1227,2598.207009,"Submission","",2014,"HPC2",72000,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x","Exploration & Production - Eni S.p.A.","IBM","Italy","Industry",42000,"4605000",3978240,0,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","NVIDIA K20x",10,"Intel Xeon E5 (IvyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe",11,43,11,"HPC2","iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x","Exploration & Production - Eni S.p.A.","IBM","Italy",2014,"Industry",72000,42000,"3188000",4605000,3978240,0,1227,2598.21,"Cluster","Intel Xeon E5-2680v2  10C 2.8GHz","Intel IvyBridge",2800,"Linux","Linux","NVIDIA K20x",10,"Intel Xeon E5 (IvyBridge)","iDataPlex DX360M4","IBM iDataPlex","Infiniband","Infiniband FDR","Southern Europe","Europe",3188000
