Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax,Rpeak,Efficiency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
1,,40,1,Titan,"Cray XK7 , Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x",DOE/SC/Oak Ridge National Laboratory,Cray Inc.,United States,2012,Research,560640,261632,17590000,27112550,65,0,0,8209,2143,MPP,Opteron 6274 16C 2.200GHz,AMD x86_64,2200,Cray Linux Environment ,Linux,NVIDIA K20x,16,"Opteron 6200 Series ""Interlagos""",Cray XK7 ,Cray XK,Cray Interconnect,Cray Gemini interconnect,North America,Americas
2,1,38,17,Sequoia,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",DOE/NNSA/LLNL,IBM,United States,2011,Research,1572864,0,16324751,20132659,81,12681215,0,7890,2069,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
3,2,37,1,,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",RIKEN Advanced Institute for Computational Science (AICS),Fujitsu,Japan,2011,Research,705024,0,10510000,11280384,93,11870208,0,12660,830,Cluster,SPARC64 VIIIfx 8C 2.000GHz,Sparc,2000,Linux,Linux,None,8,SPARC64 VIIIfx,K computer,Fujitsu Cluster,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
4,3,39,3,Mira,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/SC/Argonne National Laboratory,IBM,United States,2012,Research,786432,0,8162376,10066330,81,0,0,3945,2069,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
5,8,39,8,JUQUEEN,"BlueGene/Q, Power BQC 16C 1.600GHz, Custom Interconnect",Forschungszentrum Juelich (FZJ),IBM,Germany,2012,Research,393216,0,4141180,5033165,82,6422527,0,1970,2102,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Western Europe,Europe
6,4,39,4,SuperMUC,"iDataPlex DX360M4, Xeon E5-2680 8C 2.70GHz, Infiniband FDR",Leibniz Rechenzentrum,IBM,Germany,2012,Academic,147456,0,2897000,3185050,91,5201920,0,3423,846,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Western Europe,Europe
7,,40,7,Stampede,"PowerEdge C8220, Xeon E5-2680 8C 2.700GHz, Infiniband FDR, Intel Xeon Phi",Texas Advanced Computing Center/Univ. of Texas,Dell,United States,2012,Academic,204900,112500,2660290,3958965,67,2818000,0,,,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,Linux,Linux,Intel Xeon Phi,8,Intel Xeon E5,PowerEdge C8220,Dell PowerEdge Cluster,Infiniband,Infiniband FDR,North America,Americas
8,5,36,1,Tianhe-1A,"NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050",National Supercomputing Center in Tianjin,NUDT,China,2010,Research,186368,100352,2566000,4701000,55,3600000,1000000,4040,635,MPP,Xeon X5670 6C 2.930GHz,Intel Nehalem,2930,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),NUDT YH MPP,NUDT MPP,Proprietary Network,Proprietary,Eastern Asia,Asia
9,7,39,7,Fermi,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",CINECA,IBM,Italy,2012,Academic,163840,0,1725492,2097152,82,0,0,822,2099,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Southern Europe,Europe
10,23,39,23,DARPA Trial Subset,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect",IBM Development Engineering,IBM,United States,2012,Vendor,63360,0,1515000,1944392,78,0,0,3576,424,MPP,POWER7 8C 3.836GHz,Power,3836,Linux,Linux,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom Interconnect,North America,Americas
11,9,39,9,Curie thin nodes,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR",CEA/TGCC-GENCI,Bull SA,France,2012,Research,77184,0,1359000,1667174,82,5757528,0,2251,604,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5,Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Western Europe,Europe
12,10,35,2,Nebulae,"Dawning TC3600 Blade System, Xeon X5650 6C 2.66GHz, Infiniband QDR, NVIDIA 2050",National Supercomputing Centre in Shenzhen (NSCS),Dawning,China,2010,Research,120640,64960,1271000,2984300,43,2359296,0,2580,493,Cluster,Xeon X5650 6C 2.660GHz,Intel Nehalem,2660,Linux,Linux,NVIDIA 2050,6,Xeon 5600-series (Westmere-EP),Dawning TC3600 Blade System,Dawning Cluster,Infiniband,Infiniband QDR,Eastern Asia,Asia
13,,40,13,Yellowstone,"iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR",NCAR (National Center for Atmospheric Research),IBM,United States,2012,Research,72288,0,1257615,1503590,84,0,0,1437,875,Cluster,Xeon E5-2670 8C 2.600GHz,Intel SandyBridge,2600,Linux,Linux,None,8,Intel Xeon E5,iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,North America,Americas
14,11,37,7,Pleiades,"SGI ICE X/8200EX/8400EX, Xeon 54xx 3.0/5570/5670/E5-2670 2.93/2.6/3.06/3.0 Ghz, Infiniband QDR/FDR",NASA/Ames Research Center/NAS,SGI,United States,2011,Research,125980,0,1243000,1731836,72,3204600,0,3987,312,MPP,Xeon E5450 4C 3.000GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",SGI ICE 8200EX/8400EX,SGI Altix,Infiniband,Infiniband,North America,Americas
15,12,38,28,Helios,"Bullx B510, Xeon E5-2680 8C 2.700GHz, Infiniband QDR","International Fusion Energy Research Centre (IFERC), EU(F4E) - Japan Broader Approach collaboration",Bull SA,Japan,2011,Academic,70560,0,1237000,1524096,81,4870152,0,2200,562,Cluster,Xeon E5-2680 8C 2.700GHz,Intel SandyBridge,2700,bullx SUperCOmputer Suite A.E.2.1,Linux,None,8,Intel Xeon E5,Bullx B510,Bull Bullx,Infiniband,Infiniband QDR,Eastern Asia,Asia
16,13,39,13,Blue Joule,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",Science and Technology Facilities Council - Daresbury Laboratory,IBM,United Kingdom,2012,Research,114688,0,1207844,1468006,82,0,0,575,2099,MPP,Power BQC 16C 1.600GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,Northern Europe,Europe
