Rank,Previous Rank,First Appearance,First Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Nmax,Nhalf,HPCG [TFlop/s],Power (kW),Power Source,Power Effeciency [GFlops/Watts],Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
1,1,47,1,Sunway TaihuLight,"Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway",National Supercomputing Center in Wuxi,NRCPC,China,2016,Research,10649600,,93014.594,125435.904,12288000,,480.8,15371,Submitted,6.051,MPP,Sunway SW26010 260C 1.45GHz,Others,1450,Sunway RaiseOS 2.0.5,Linux,None,260,Sunway,Sunway MPP,Sunway Cluster,Custom Interconnect,Sunway,Eastern Asia,Asia
2,2,41,1,Tianhe-2 (MilkyWay-2),"TH-IVB-FEP Cluster, Intel Xeon E5-2692 12C 2.200GHz, TH Express-2, Intel Xeon Phi 31S1P",National Super Computer Center in Guangzhou,NUDT,China,2013,Research,3120000,2736000,33862.7,54902.4,9960000,,580.1,17808,Submitted,1.902,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,2200,Kylin Linux,Linux,Intel Xeon Phi 31S1P,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Eastern Asia,Asia
3,8,40,114,Piz Daint,"Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100",Swiss National Supercomputing Centre (CSCS),Cray Inc.,Switzerland,2017,Research,361760,297920,19590,25326.264,3569664,,470,2271.99,Optimized,10.398,MPP,Xeon E5-2690v3 12C 2.6GHz,Intel Haswell,2600,Cray Linux Environment ,Linux,NVIDIA Tesla P100,12,Intel Xeon E5 (Haswell),Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Western Europe,Europe
4,3,40,1,Titan,"Cray XK7, Opteron 6274 16C 2.200GHz, Cray Gemini interconnect, NVIDIA K20x",DOE/SC/Oak Ridge National Laboratory,Cray Inc.,United States,2012,Research,560640,261632,17590,27112.55,,,322.3,8209,Submitted,2.143,MPP,Opteron 6274 16C 2.2GHz,AMD x86_64,2200,Cray Linux Environment ,Linux,NVIDIA Tesla K20x,16,"Opteron 6200 Series ""Interlagos""",Cray XK7 ,Cray XK,Custom Interconnect,Cray Gemini interconnect,North America,Americas
5,4,38,17,Sequoia,"BlueGene/Q, Power BQC 16C 1.60 GHz, Custom",DOE/NNSA/LLNL,IBM,United States,2011,Research,1572864,,17173.224,20132.659,,,330.4,7890,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
6,5,48,5,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,Cray Inc.,United States,2016,Research,622336,,14014.7,27880.653,6984960,,355.442,3939,Submitted,3.558,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
7,6,48,6,Oakforest-PACS,"PRIMERGY CX1640 M1, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path",Joint Center for Advanced High Performance Computing,Fujitsu,Japan,2016,Academic,556104,,13554.6,24913.459,9938880,,385.479,2718.7,Submitted,4.986,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Linux,Linux,None,68,Intel Xeon Phi,PRIMERGY CX1640 M1,Fujitsu Cluster,Omnipath,Intel Omni-Path,Eastern Asia,Asia
8,7,37,1,,"K computer, SPARC64 VIIIfx 2.0GHz, Tofu interconnect",RIKEN Advanced Institute for Computational Science (AICS),Fujitsu,Japan,2011,Research,705024,,10510,11280.384,11870208,,602.7,12659.89,Submitted,0.83,Cluster,SPARC64 VIIIfx 8C 2GHz,Sparc,2000,Linux,Linux,None,8,SPARC64 VIIIfx,K computer,Fujitsu Cluster,Custom Interconnect,Custom Interconnect,Eastern Asia,Asia
9,9,39,3,Mira,"BlueGene/Q, Power BQC 16C 1.60GHz, Custom",DOE/SC/Argonne National Laboratory,IBM,United States,2012,Research,786432,,8586.612,10066.33,,,167,3945,Submitted,2.177,MPP,Power BQC 16C 1.6GHz,PowerPC,1600,Linux,Linux,None,16,Power BQC,BlueGene/Q,IBM BlueGene,Custom Interconnect,Custom Interconnect,North America,Americas
10,10,46,6,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",DOE/NNSA/LANL/SNL,Cray Inc.,United States,2015,Research,301056,,8100.9,11078.861,8847936,,182.6,4232.63,Derived,1.914,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,Americas
